,fold-change control1 case1 lung,fold-change control1 case1 heart,fold-change control2 case2 lung,fold-change control2 case2 jejunum,fold-change control2 case2 heart,fold-change control3 case3 lung,fold-change control3 case3 heart,fold-change control4 case4 lung,fold-change control4 case4 heart,fold-change control4 case4 liver,fold-change control4 case4 kidney,fold-change control4 case4 bowel,fold-change control5 case5 lung,fold-change control5 case5 fat,fold-change control5 case5 skin,fold-change control5 case5 bowel,fold-change control5 case5 liver,fold-change control5 case5 kidney,fold-change control5 case5 heart,fold-change control5 case5 marrow
DUOX1,-0.781298697728496,inf,-0.05841939909715109,-6.10162858449033,-5.438266080364124,-0.24955202365332574,-5.750815102677517,2.3881508570884065,inf,inf,,-6.5537150114891425,2.2321929305689423,inf,-0.6073350654669599,-4.104853731650697,inf,-4.545511350002433,-2.9297054335156343,-2.6817157336007416
ADAR,0.9173142411317416,-0.5711273165188866,0.31386885811486875,-0.14260663958146944,-2.0730847875228733,-0.6872149806526857,-2.0310391685642344,-0.7385282775959033,-2.6360952080999063,-0.20550670528654363,inf,-1.5044920937164994,-0.23817804175489676,-2.895728489321215,-1.4525333386692418,-1.037580376981163,-4.048338905461357,-1.5702337794136654,-1.241956830681415,-1.0690082423966767
ANXA1,1.7372082979273886,-1.2893524055004855,0.6069151888158844,-1.1999462798845768,-3.5890511956525057,-0.06315585305391963,-2.5874461616808473,0.1561596537683094,-2.4171681464694394,-1.866208159260139,inf,-2.194222596301622,-0.22268727514535708,-0.57634483079162,-0.6701178992479578,-1.932341779405234,-4.628959456955039,-3.2427768203483835,-1.4759049296705853,-0.9009339071420455
ANXA2,0.005238463089405919,-0.9758735004489407,0.8083037536041413,-1.3266672589968442,-2.742531446021215,0.23142072404523878,-1.51065447227762,-0.8626510307371922,-2.266982773272359,inf,,-2.2015547151823633,0.30825813112588873,-2.629890010610717,-0.4813884211206052,-1.8856726528553198,-2.661194130528723,-2.421852882251341,-0.7554208926945737,-3.973094765128492
BST2,2.842587533223205,1.4984802746744843,1.3816295400873504,1.681621535560617,-2.027570128270508,0.483766935313388,-1.1673406836157738,0.6017032052914392,-1.75566612399445,-0.008469858226990706,,-1.21290961014994,0.5681191070377574,-2.3791529635803053,-1.1398301462939828,-0.4188720662032971,-1.9723359711064314,-1.4866176609488633,-2.107850941762912,-1.829272922014594
CREBBP,0.11558034459382933,-0.3100353031503754,1.7100471226424703,1.830968953997363,0.280552167091821,-0.7859027742869141,-1.9169855280491632,1.52635926382686,-0.6279591858537371,1.5091225589015564,inf,0.025189978411644408,0.7850085778269064,0.01818253396507529,0.05501248735266025,0.199372361503203,-1.9229237769813567,-0.966425415617945,-0.17683344844007007,-0.4319374244692159
DDX58,2.097905514596091,-0.6916226087054541,0.7015894998700035,-0.07795575550596275,-4.22194817343736,0.7204218822390376,-1.754426356229902,-1.2924638826964294,-4.668839761606171,inf,,-1.233390802304367,1.4872071931357838,1.62084703641969,-0.5548676455728305,-1.0783815202895102,-1.7796908931640412,-2.393508256557381,-0.42977903665028055,-1.2077845452683307
DUOX2,-0.15691235649030386,inf,inf,inf,0,-0.034791908780487,inf,4.199389213633241,inf,3.863655319220854,inf,-3.40687362315987,2.3267580793726372,inf,-1.777260066909277,2.8800393759590914,-0.6097658917217235,inf,inf,inf
EEF1G,0,0,0,0,0,0,0,0,0,0,,0,inf,0,0,0,0,0,0,0
FADD,0.8955589263734728,1.0188707740995628,-0.14350536800716696,-2.382810337034385,-2.7194478329081773,0.5198907323825963,-2.239853183400137,-0.029429476862642374,1.8381202271137145,3.7641196456699384,,-0.921446795989627,1.6917790289166674,inf,-0.4553319720219095,0.43946678457311256,-1.609765891721722,-0.22358325511506527,-0.48224645654441406,1.4475672833442266
GBP1,4.350449169802684,0.5265575613440803,-0.7364341387897647,-2.504800861412988,-6.928901198537123,0.3800276421428753,-3.5469080018059778,0.018323654585725768,-1.6175592566624781,inf,inf,-0.6852485751281517,1.6397506015276975,inf,-0.9512894666843307,-0.2574641477908473,-1.2618425883014202,-2.098052373031212,-1.0030786198458563,-2.011864335293075
GBP2,3.536780151964239,1.6061772152890175,-0.20619953883699862,0.2870410612732883,-4.47843973340438,-0.38565729016737554,-3.0665847388834586,1.7210319597877872,-1.131468459990193,2.200690306498421,inf,1.4693201752257294,1.02071459422052,-0.053577091677802065,0.0011082262674879575,0.35069892736685315,-1.185626185335631,0.01179480781585662,-2.0134377008245936,-1.756677791281964
GBP6,2.1606446491368687,inf,inf,0,0,inf,0,0,0,0,,0,inf,0,0,0,0,inf,0,0
IFI35,1.8711986798036517,-1.6091604485134765,2.6688053755592116,0.2021521636867705,1.1874427627003439,0.8258572884308141,-0.9544509645378908,-0.5920241645553425,-3.7619491659976525,2.086047740557301,,-1.3771262797658166,1.820880119576536,inf,-0.19229756618812274,0.4394667845731069,inf,-1.8085457558362288,-0.06720895726557319,-0.944750139434538
IFI44,0.9861047480308331,-0.7696251207067267,0.2914324467233634,-2.2128853355920715,-4.134485332187024,2.5309328804029683,0.5821485146218659,-3.0532762188170093,-2.2895623258251963,inf,,-3.9452935379439986,1.9825422158798744,inf,-0.3849426441305173,-0.509907142356924,-2.6097658917217244,-0.6386207543939129,0.14224440836337549,0.4475672833442242
IFI44L,2.528084631019647,-0.9811292259004462,0.06246025026978237,-2.634349104030347,inf,0.6475453413931112,-1.3857040498635889,-1.1591973518329703,-4.263633271687021,inf,inf,-5.039141838659384,0.6305782319117225,inf,-1.8767957404601918,-2.187315891842675,-5.516656487330244,-1.2235832551150725,-2.2192120507106217,-2.4593233122642952
IFI6,3.009707909524814,1.4426784830061339,-0.9777526117565626,-2.5450817659332596,-5.104111683143504,2.005298939320065,2.152464239378623,-0.7875408799003937,-1.2193032094745184,inf,,-4.143839217326077,0.17541648795869813,-0.23476305424514135,-2.324747862211773,-3.393423229591633,-3.6353009838288597,-3.249118347222205,-1.5963182232532112,-3.385322730820518
IFIH1,2.82937823008093,1.2559099714004114,0.4663630156506465,-1.3384162176759329,-3.5495228314658682,0.6137545987636024,-1.1143223013162837,-2.2790433669341166,inf,inf,,-3.533630765445814,0.7385801798564474,inf,-1.3077747836080524,-1.0239337362671284,-1.9882775149754446,-2.9240229732561547,-1.1237924856319335,-0.7382992619670988
IFIT1,2.010692530862186,-0.02419794779232363,1.408170156725535,1.317629381106709,-1.7194478329081788,0.7286339519650906,-0.7288912641227581,0.6864128257378093,-5.603251419978597,inf,,-3.7038553609170037,0.3777877352784088,-0.9096676802790818,-2.0182681664130673,-2.7463997607382207,inf,-2.3390604725349995,-2.1826861746855033,-3.0602273568544676
IFIT2,3.29868792690898,-1.4285882028716572,-0.6723462490167391,-4.119775931200588,-4.4564134270743825,1.6709628368104081,-2.7252800105703776,-2.3646136684522716,inf,0.3134582366603722,,-4.635142610832989,1.900933718981204,inf,0.22273993309072201,-0.9528506382056519,-2.1947283924428813,-1.2235832551150698,-1.8448165359291209,-1.3597876387133796
IFIT3,3.0400584703174123,0.0783717858482216,-0.8957353641462527,-4.1197759312005875,-5.193379021240591,0.6402278983037227,-2.0855250370088374,-2.490109641697202,-3.2511117069896835,inf,,-3.5265168701593614,1.4448155291474958,inf,-1.5427948132722504,-2.285425977292518,-2.6972287329720626,-2.7260835956442477,-1.9847467970735924,-4.447250479963709
IFIT5,1.1752534061585347,-2.404340656624978,-0.8357236361327635,-0.47591974142586435,-3.1344853321870176,-0.5234011186091808,-1.8875514394692534,-3.0825408133222063,-1.1489019188880794,inf,,-1.5151265138118941,0.585575799318921,-0.01658288419560745,-0.8297274868034106,-1.0459600425971372,-2.83215831305818,-4.03093817717268,0.21289896192715935,-4.167142560770983
IFITM1,4.378662547743528,3.004371204404446,-0.04249125228402894,-0.40051233876783965,-3.9070748360839462,2.213579591284732,1.136522695509599,-1.2022660737248578,inf,inf,,-0.531347198460689,1.231145083778575,0.5891381766923516,0.90863134266266,0.5923656837227473,-2.325972925721131,1.159745384436437,1.0165594004270277,-2.0759946727127887
IFITM10,-2.1847991299273497,inf,1.282501991477696,-0.7978478363132262,inf,-1.308221061802984,-4.976818777566346,7.0869144843748275,0.8230133347235031,6.671010241278457,,-0.5995187011022663,2.2050310874940315,inf,0.8077024338118763,inf,inf,inf,inf,-0.3597876387133739
IFITM2,1.0860088004724144,0.4843261803646301,-0.11148235759166066,-1.2128853355920715,-3.008954450103162,-1.0040188103283023,-2.236031472447731,-0.01348793299361979,-1.5592152704316748,inf,,0.25203602486587334,-1.0201174501829173,-1.4008480346796242,-1.5891079699912585,-1.0473962747126435,-2.938889488013291,-1.665181580665047,-1.6045184823953083,-2.0108393298923057
IFITM3,1.7798979544013604,1.145319109340504,-0.033015210778124776,-0.5561870812719999,-2.5215084552962685,-0.4259117103059352,-1.4693350295229077,-0.9987326796397209,-2.106091994700542,-1.6755034918871783,,-0.4263961814246875,0.41365400070252273,-3.358975081642682,-0.2616712692287885,0.34809801386257777,-0.8406497739518117,-0.7294741848450299,-0.06975115182802225,-2.261607244774476
IFITM5,inf,0,inf,0,0,-0.5410524260043468,inf,inf,inf,inf,,inf,0,0,0,0,0,0,0,0
IFNA1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
IFNA2,0,0,0,0,0,inf,0,0,0,0,,0,0,0,0,0,0,0,0,0
IFNAR1,1.2663467194783593,0.11840644765047535,0.30778213577138175,-0.3648884290371194,-1.549522831465864,-0.7115216326161699,-1.795753218518834,0.7789712553465121,-0.34826133140611604,2.048958421822078,,-0.9177897723815408,-0.570866706704476,-1.0967532328795848,-0.8781889757600571,-0.8908409759302265,-3.118779539209582,-2.04071919796526,-1.0382575835694419,-2.109809385705031
IFNAR2,1.1454624775166293,0.7234148905733861,0.8267724406683108,-0.935351360063163,-4.593916950824318,-0.27010578437773974,-1.5438593702902366,0.23360492897115684,inf,inf,,-1.436019968819388,1.410540363199173,inf,-1.514225661075486,0.11753868968574624,-1.346731485887934,-2.5455113500024336,-0.06720895726557152,0.48820926784157
IFNB1,inf,0,0,0,0,inf,0,0,0,0,,0,0,0,0,0,0,0,0,0
IFNL1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
IFNL2,0,0,0,0,0,inf,inf,0,inf,0,,0,0,0,0,0,0,0,0,0
IRAK1,-1.5485048837582958,-3.922577043545327,0.36243855768464034,-1.0323130899502466,-1.2084859136307968,-1.0492960806758074,-2.094312340584784,2.4554371891509246,0.19363092252545214,1.732410785942596,,-1.0145562003811142,0.09204416842574858,inf,-0.4830769625048201,-0.6833899632124228,-1.4171208137793274,-2.4459756764515217,-0.7871010380728363,-0.4667028426298915
IRF1,2.915544034955138,0.690710725500683,-0.042419376029786494,-0.856741525366798,-3.193379021240591,0.5007490572091361,-2.2678675595697384,0.5111389045000614,-1.1950466368214887,0.8896505277537963,,-0.7661685705117196,-0.13777315243222613,-0.9533890577084095,-3.319787301310038,-1.974545709304975,-3.216423463542201,-1.6458162557981173,-2.1109303346948893,-1.9664452105338555
IRF2,2.043729008906725,0.8933398920157064,0.15632395537327748,-0.8343737123383426,-2.6490585050167788,-0.5212962458597266,-1.9818720052926333,-0.6005861780587751,-2.140460789251392,1.3856080224162044,,-0.45865616526242065,-0.20005187492042695,-0.17885431309447786,-1.142024359706894,-0.9001091761336749,-2.579392242678205,-2.0777323886516124,-1.451872807500895,-0.5568244857729315
IRF2BP1,-1.284888179891918,inf,-0.8093982014632162,-2.0202402576496783,-1.9418402542446251,-0.20180555086179436,0.15246423937862227,1.6144267129120773,4.211710441823563,5.671010241278452,inf,0.9854437996188846,1.6772202733701471,inf,inf,-2.3678881374844942,inf,-1.2235832551150694,0.10271604417674209,-0.3597876387133788
IRF2BP2,0.6603921310789255,0.29160167854372243,0.8373503941878531,0.46201929044188583,-0.9900954228518444,0.004847886510610018,-1.1429916441475478,1.9032242148109577,0.12607520164760547,1.8765943749283485,inf,-2.0016171446736144,-0.7101697473417448,-2.2315957751664537,-0.5999555351013661,-1.5958400841628442,-3.1727020861128814,-1.3879700730159517,-1.9196517688517134,-0.7097301097703395
IRF2BPL,0.963346564298168,-0.4092228780047213,2.9039038731227134,2.202152163686779,1.0354396692552923,-1.1678809094253655,-1.3069673792586758,2.3121274247736534,-0.03353815567514092,2.48118568239844,,0.1879366635176324,0.6509856994810677,inf,-1.7158595222451336,-0.624663552846603,-5.133327847778737,-0.7471452111720835,-0.5463767939641274,-3.2983870940492355
IRF3,-0.2291388422944676,-0.20619578153521723,2.6329895474919183,1.465186569520571,0.12854907364677187,-0.9350887759805651,-4.4827097072963,1.6435730585715993,0.5970005977083597,inf,inf,-3.4068736231598713,0.8658895655658366,-0.37915296358030814,-0.36222256763043414,-0.3678881374844963,-1.1947283924428784,-1.071580161670021,-0.3302433630993657,-0.20778454526832518
IRF4,5.447256256189755,inf,2.1977703444271572,-0.21288533559207307,inf,3.1273570264794976,-3.8248156841212944,-0.4623888841387495,inf,inf,inf,inf,2.808592027575188,inf,0.682171551728022,-0.36788813748449256,-1.609765891721722,0.36137924560608936,-1.4822464565444127,2.340652079427718
IRF5,0.2495629265040949,inf,1.7097204346417798,1.0766212816029117,inf,-0.17476113944938934,-5.742353523929324,4.871119591872052,inf,inf,,-2.2624837138246936,1.8418007442336721,inf,0.22273993309072201,-0.14549571614804677,-0.6097658917217289,-0.22358325511506974,-1.6521714579867337,1.6402123612866162
IRF6,0.24242445237091456,0.3908395514865211,0.8906169664365925,-1.1604179156979335,-0.13448533218702116,0.14360297543450695,-1.2829219052920227,-2.166933000612578,-1.5217757179726705,inf,inf,inf,0.7685773290027514,inf,2.9988439211638886,-3.6898162323718586,inf,0.039451150718725014,-2.067208957265569,-2.6817157336007367
IRF7,0.6047398656274914,-2.6714447267678163,1.2380337337785239,-1.1197759312005935,-0.8714509263532282,-0.13397486776101433,-3.8248156841212957,-1.4768884538338625,inf,3.442191550782575,inf,-4.828337391598148,4.065087888670281,inf,1.9231796512318158,0.4394667845731106,0.9751966089994286,-0.22358325511507107,1.2547191376217934,2.447567283344225
IRF8,0.7886004961065661,-1.3545876214278811,0.054974961853160156,-1.7453804164190923,inf,-0.40680984907613094,-4.399051778249392,0.8519260266387408,inf,inf,,-0.2035900247711222,0.6451947069944066,inf,-1.1449918514097641,-0.2974988095930967,-3.3467314858879322,inf,-2.804174551431777,-1.0967532328795875
IRF9,-0.06618953187515197,-0.9811292259004347,-0.15404159507403753,inf,-1.9418402542446251,-0.4378763391140699,-1.4622456047365873,-2.1669330006125787,-1.6364182839137966,inf,,-4.643912820460721,inf,0,inf,inf,0,0,inf,inf
ISG15,3.2454660578110874,0.308377391294549,0.26959410390502697,-2.3828103370343823,-3.7194478329081746,1.863880428546076,-0.0699281819578317,-1.6005861780587687,-0.34399418333651355,inf,,-2.9780303243559967,2.371648824404437,inf,-0.19229756618812197,-0.19796313604218096,-1.609765891721722,-0.22358325511506527,-2.06720895726557,inf
KPNA1,-0.3696953654779319,-2.7505162977590216,1.2309824742788846,1.1090427592952916,0.4504771685341359,-0.6842939084991626,-1.758320272334389,1.3254132404974537,0.4656073444814209,inf,,-0.06729766245308556,0.3604560108867758,inf,-0.39259621667394906,-0.07020758884380683,-3.194728392442875,-1.5861533344997731,-0.2713496740457944,0.40102469740719676
KPNB1,-0.05089238857755831,-1.448695776320226,0.47815315393922664,0.7257141197437834,-1.1495922245772274,-0.4211691788010397,-1.5385114989646533,0.7287526032132523,-0.48028706379429237,inf,inf,0.08299910904155088,0.06748530153835423,-2.2204552175612475,-0.8755979861025665,-0.05493484628900388,-3.1615615285076775,-2.7112485544813074,-0.7252893871907387,-0.2729828111761078
MAVS,-0.20964936241690707,-1.756914068957172,1.2010268164839304,0.5240802585741352,0.9964455376394253,-0.8180154963795139,-0.633195611579667,2.3569473257515607,0.8785884416970929,0.6339209225432337,inf,-0.542090421053198,1.432994025750859,-2.635492716840092,-0.7116717252817004,0.10671391579415658,-1.7881031329802353,-0.7918670146895941,0.9741318381153313,0.42340097221347406
MX1,0.689130563220187,-2.303057320787797,0.1163001852628351,-0.9271308532581861,-3.2637683491319858,0.6565351932814686,-1.2631229627229872,0.586229821081428,-6.190076664716941,inf,,-3.67400924520685,0.844178733988252,inf,-1.3324752242363807,-1.128422202789104,-2.7796908931640334,-1.3060454153070407,-1.3063966211449947,-1.529712640155688
MX2,0.002378461879705121,-2.879249611881226,1.0661774770103234,-1.0873544535082127,-2.59391695082432,-0.6067814888423314,-1.8068937761240322,-3.1614578705464225,-3.1151050137813083,inf,inf,-4.179006071757272,2.5776597545621143,inf,1.5446680279780884,-0.6898162323718567,-2.931693986609086,-0.22358325511506974,0.7401459647920364,0.48820926784157
NFKB1,0.5228768676768526,-0.8018055264558815,0.3457278619292602,-0.2503600410107338,-1.6650000488857997,-0.5915313741045082,-2.051408093987029,-1.0141627202093286,-3.7315755169541363,2.7013838903219747,,-0.48168221080840684,-0.739000209202474,-0.4108618233076485,-0.6714654028866793,-0.9966323302335627,-3.325972925721131,-2.577220209729774,-1.1150374823561835,-1.5614214998830316
NFKB2,0.14561515904318095,-0.8193781559038253,1.808741424534802,2.277440290991013,0.45047716853413494,-0.5923900008629233,-2.378680888097458,2.184245727372696,0.017030013188372866,inf,,-0.33070194267446773,1.9225717169008603,inf,0.5919737427564395,2.323273767068586,-1.1947283924428846,0.7764167448849303,1.254719137621789,-0.13739521737693294
NOD2,-0.5341679380818358,-0.7696251207067256,-1.3317754548998575,-1.0202402576496727,inf,-3.728499721119792,-6.654890682678986,4.501951983653669,inf,inf,,-3.184481201823425,inf,0,inf,inf,inf,0,inf,inf
