,7_1,7_2,7a72_1,7a72_2,7b72_1,7b72_2,Promedio Control 7,Promedio 7a72,Promedio 7b72,fold-change Control7 7a72,fold-change Control7 7b72
A1CF,0.012856007235895982,0.0055758037317704765,0.0034535536269195235,0.0006172295211945867,0.01577373793098974,0.01097563674172115,0.00921590548383323,0.002035391574057055,0.013374687336355445,-2.1788195502031003,0.5373073396134864
A2M-AS1,0.0008223458785990677,0.0,0.0,0.0,0.0,0.0,0.00041117293929953384,0.0,0.0,inf,inf
A4GALT,0.0018639839916458501,0.002311918621316012,0.0038460029037402665,0.002028039855098445,0.0027492353690426706,0.0011949281936856299,0.002087951306480931,0.002937021379419356,0.00197208178136415,0.49226570056307956,-0.08236868604286286
AAAS,0.030783147387113522,0.028219006694718305,0.06155566891102642,0.06957058458943777,0.05013918004799235,0.04992144453155176,0.029501077040915914,0.0655631267502321,0.05003031228977206,1.1521170330793702,0.7620348315682157
AACSP1,0.0,0.0,0.0,8.817564588494096e-05,0.0,2.2128299877298573e-05,0.0,4.408782294247048e-05,1.1064149938649287e-05,inf,inf
AACS,0.01556974863535022,0.00747973671327199,0.017542482633208116,0.01534256238295894,0.011649884876949424,0.012679515832651398,0.011524742674311104,0.016442522508083528,0.012164700354800412,0.5126971068066022,0.07796624537492218
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AADACP1,2.7411529286635586e-05,0.0006527770222521234,0.0004513166673482122,0.0,0.0008591360526869115,0.0005089508972446186,0.0003400942757693795,0.0002256583336741061,0.0006840434749657651,-0.5917946648321234,1.0081532959281045
AADAC,0.005674186563725238,0.0021351248442780363,0.0027863898588844833,0.003967904064822343,0.007251108286608167,0.00309796198371182,0.0039046557040016373,0.003377146961853413,0.0051745351351599935,-0.20939038138677216,0.4062339177650914
AADAT,0.0006030536443446405,0.000775172713874012,0.0010596130448557832,0.00035270258353976386,0.0006873088423400523,0.0004425659975459714,0.0006891131791093262,0.0007061578141977736,0.0005649374199430118,0.03524968833788196,-0.28664988476883646
AAED1,0.0004934075271207831,0.0007207746287803861,0.00086338840701435,0.0001763512917443622,0.001237155916212094,0.001239184793262223,0.0006070910779505846,0.0005198698493793561,0.0012381703547371585,-0.22376248451707967,1.0282249466081341
AAGAB,0.018831720620923746,0.016020236088771834,0.02429261017802568,0.011286482671230866,0.05196054848789379,0.027793144654253196,0.01742597835484779,0.017789546424628273,0.039876846571073495,0.02979007078963277,1.1943116708148078
AAK1,0.003399029631620128,0.003209487026328221,0.004572034064009591,0.006084119565040138,0.005326643526150789,0.005421433470939423,0.0033042583289741743,0.005328076814524864,0.005374038498545106,0.6892883998329443,0.7016801746055334
AAMDC,0.0007675228201804267,0.001264755480684027,0.001020368117458178,0.0010581077506192915,0.003195986115055397,0.001504724391834307,0.001016139150432227,0.0010392379340387347,0.002350355253444852,0.03242801902670854,1.2097808561623837
AAMP,0.010772731010188991,0.0076157319260060545,0.019112279734801705,0.015607089321124156,0.02068799615268911,0.011019893340185218,0.009194231468097523,0.01735968452796293,0.015853944746437164,0.9169398382883299,0.7860409613972779
AAR2,0.0045229023330680225,0.003345482239062286,0.00729955653065979,0.008729388941588367,0.011031306918684607,0.007501493658826975,0.003934192286065154,0.008014472736124078,0.009266400288755791,1.0265401381403472,1.235941533124051
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AARS2,0.0011786957594799605,0.0012375564381372143,0.0019230014518701332,0.002645269376548229,0.001580810337223351,0.001903033789803685,0.0012081260988085875,0.002284135414209181,0.0017419220635135181,0.9188771383427295,0.5279090322186472
AARS,0.007592993612243428,0.0058885927215425165,0.013245163062119635,0.008023983773998444,0.010893845150534135,0.00763426345866928,0.006740793166892972,0.01063457341805904,0.009264054304601707,0.6577719003259691,0.45872535166913525
AASDHPPT,0.00792193196468815,0.015489854757657908,0.01907303480967985,0.026188166817109185,0.020309976289481467,0.01907459449650092,0.01170589336117303,0.02263060081339452,0.019692285392991192,0.9510398456959981,0.7503955121630703
AASDH,0.0031797373979455634,0.0028830985151215445,0.00516070797781836,0.0027334450234539585,0.006391972233286178,0.003983093979693784,0.003031417956533554,0.003947076500636159,0.005187533106489981,0.38079170392089995,0.7750558612483979
AASS,0.0002741152928663559,0.0004215851602817526,0.00023546956552350737,0.0,0.00013746176846801046,0.00026553959857208385,0.00034785022657405425,0.00011773478276175368,0.00020150068352004717,-1.56292565707412,-0.7876815278163255
AATBC,5.482305857327117e-05,0.0,3.9244927596733534e-05,0.0,0.0,0.0,2.7411529286635586e-05,1.9622463798366767e-05,0.0,-0.48227662037637925,inf
AATF,0.003152325868736243,0.0016047435131641104,0.0034927985548860673,0.004056079709176101,0.00433004570467833,0.0032528600816736333,0.0023785346909501767,0.003774439132031084,0.003791452893175982,0.6661892139381052,0.6726777311211628
AATK,0.0018913955210484582,0.0017271392044635383,0.0017267768140287,0.0011462833965042326,0.0022337537373670158,0.0017260073908297975,0.0018092673627559982,0.0014365301052664662,0.0019798805640984067,-0.3328173889423757,0.13000778604392588
ABAT,0.0024670376365703533,0.002923897079425455,0.0028256347862820885,0.002645269376548229,0.002096291968899006,0.0017702639904063908,0.002695467357997904,0.0027354520814151587,0.0019332779796526983,0.021243844676215012,-0.47948634587835465
ABCA10,0.0001370576464525067,5.439808519036412e-05,0.00015697971035848722,8.817564588494096e-05,0.0005842125160684291,0.0004425659975459714,9.572786582143541e-05,0.0001225776781217141,0.0005133892568072002,0.3566854314522261,2.4230422553249698
ABCA11P,0.0,1.3599521289529509e-05,7.848985516502015e-05,8.817564588494096e-05,0.00030928897900539277,0.0,6.799760644764754e-06,8.333275052498055e-05,0.00015464448950269638,3.615327730514335,4.507327652482332
ABCA12,0.0,6.799760647989363e-05,0.0,0.0,0.0,0.0,3.3998803239946814e-05,0.0,0.0,inf,inf
ABCA13,2.7411529286635586e-05,0.00016319425560333846,0.0,0.0,3.436544210112569e-05,6.638489965414622e-05,9.530289244498703e-05,0.0,5.037517087763595e-05,inf,-0.9198071732122036
ABCA17P,0.0,0.0,0.0,0.0,0.0002061926526702618,0.0,0.0,0.0,0.0001030963263351309,0,inf
