,fold-change Series1,fold-change Series2,fold-change Series5,fold-change Series6,fold-change Series7,fold-change Series9 NHBE_IFNB_4h,fold-change Series9 NHBE_IFNB_6h,fold-change Series9 NHBE_IFNB_12h,fold-change Series15,fold-change Series16 A549-ACE2_SARS-CoV-2,fold-change Series16 A549-ACE2_SARS-CoV-2_Rux
DUOX1,-0.16793765818258732,0.1303717020356444,0,0,3.6802303244148615,-0.6001695005084404,-0.7487907469958444,-0.9255731558259908,1.2368420741611175,2.1616754845465165,2.431973464826473
ADAR,0.1821595584127714,0.6857381967523659,0.2542807363162188,0.15739151678447502,1.9844680432864148,1.2595797103974018,1.9381700858511342,1.8531421609892804,1.1280404425421386,1.8760160047383618,0.8693420778842249
ANXA1,0.2899651491978953,0.34620706724547884,-0.0898970882277013,-0.8763571959633822,-0.050256610213354126,-0.6150615324134399,-0.3945903519761445,-0.663929525742225,-1.121905880779997,-0.6257367408572355,-0.5923159405896049
ANXA2,0.17007034201962964,0.026337376205431952,-0.07275932086369397,-1.3063509553922374,-0.030657728845830554,0.3004057722237442,0.23068299191794028,0.13290702006661634,-0.30444373291975974,-0.9036874034308294,-0.7226692195224984
BST2,1.1901474015972175,2.568283345460939,-0.9575370164714714,-0.9070263971248,4.311468821150225,3.4080312774145685,4.421805466732163,6.067894563068014,-0.21589655108680147,3.6820493464117234,0.5979037014659556
CREBBP,-0.18424707002684382,-0.048752841146946904,0.45725911805603947,0.6989685885838816,1.3013376066467293,0.17084928716001052,0.3487537475589673,0.11432027214984351,0.19475732193447665,2.428136653414689,2.528623544603847
DDX58,0.450835995266704,1.8931466474163083,1.1637665712957375,-0.10893997886247699,3.262036841941971,5.103882325732772,5.611709573738428,5.19670819549589,4.145879788342287,5.273837085074187,2.460733790006313
DUOX2,0.4585191382142272,0.4214251070341482,1.9222002458784633,inf,4.745533376290024,0.7283023492936203,0.8653991291768973,0.8906730938866535,inf,3.9064693258577283,0.636304175608671
EEF1G,0.004357626614511496,0.08364059287604868,0.5833646979783211,-0.058800227956820064,0.2838505370273233,0.38988794829258366,0.310290486182697,0.11869844916681678,-1.9131285653813956,0.19329864505746325,0.37554007076154927
FADD,-0.06890381016495192,-0.04324052357474877,-0.12755905136206397,0.2033830875542394,0.3506656782692198,0.5166550159878237,0.6326782791785045,0.5736415269669007,-0.06984783556200364,1.386314088194432,1.1820963055116989
GBP1,0.29650856834392175,1.1508947514069168,2.0827184598942488,-0.23683226556872927,4.547732446102184,5.104077373692041,5.516736274279497,5.136595898892621,4.5454688194344515,3.713264124431071,-0.9176165911793966
GBP2,-0.15026571626138868,0.6369785626996827,1.9675256217961778,-0.02978499310865901,1.816427922464115,2.0706028593746924,2.508491817140527,2.4314031765674033,2.147516470703684,2.6175039353745015,0.7709051975634218
GBP6,-0.443225287440547,0,0,0,3.017769905616736,0.021541293628864113,0.4816660932886833,0.14213068352319752,inf,inf,inf
IFI35,0.8702947582089604,1.24886234879279,0.2917112469135828,0.482667476889595,2.7285164967908955,4.404417617363655,5.2201239286367755,6.090581559693416,0.6672150109973004,3.517935008397274,0.15855447844715564
IFI44,0.8152952727444127,4.773857124794924,2.225244885890568,5.270664527412542,3.510708818683192,5.255083102159788,6.0451775658936695,6.474133314484977,3.464540378628439,7.218618324940043,2.672389084195195
IFI44L,2.201471110830868,inf,2.4259066453729323,0,4.550501518259199,6.788519216035988,7.572548924323231,8.445809645099107,5.302318596417358,7.25853452415273,1.9900920575976195
IFI6,2.275441357020456,4.397924574373808,0.23954801843121953,1.7679201082785203,1.6973708960011882,5.744543255154421,6.475099541895662,7.507553618650551,7.182426938700909,4.486799530143407,0.13811411355265577
IFIH1,0.6100396787882937,1.9532738883685223,1.6297325180679347,1.1057626297446217,4.506021190068818,4.7105582100981644,5.266196554572338,5.246010040124853,3.9123070547351118,6.19565831432959,2.1299785500758763
IFIT1,0.7373657860976159,4.422286366200291,-0.8429107370690773,1.166416168557977,4.995627517584718,8.168130593761397,8.951055281605175,9.299986042346521,6.923743493714306,7.903902221763708,2.9042437289395098
IFIT2,-0.459809148280959,1.3133265424183134,1.1995716266153116,1.35618741358081,5.750194903865484,7.719802751472225,8.544429565390109,8.55281880614545,6.6669399532443165,7.989639977523841,4.785829749342713
IFIT3,0.6508689400470785,2.0714305321002486,1.2066682660358923,0.8681645057079335,5.384129860939052,7.9925958476550685,8.732120008194505,8.599235964562077,6.312198361712257,7.193481921143815,2.8949240572530277
IFIT5,0.047458376811110765,1.030160685193834,0.8127765860036892,0.7978973284495608,3.3111821529791756,2.6994015937772606,3.450926879314619,2.7420560514505086,4.057262028269828,3.209107233203826,2.0058158534537562
IFITM1,1.5184588631040916,4.542533305082904,0.6039991889182297,4.328760843447291,4.1390151098177945,5.303395191818737,5.800181298133948,6.963604911054817,4.705997712392103,6.044537283219862,0.9873381073248875
IFITM10,-1.6451501048118033,-0.2487070820872537,0.001082573870163187,-0.2118026189521185,0.40611181939888735,-0.5781325614594877,-1.016567479523505,-1.045909395380527,1.5131259103969135,-0.10331018714540277,-0.04116113367945227
