,fold-change Control1 1b24,fold-change Control1 1b60,fold-change Control2 6a24,fold-change Control2 6a60,fold-change Control2 6b24,fold-change Control2 6b60
DUOX1,2.2318618268041295,3.1271773287093665,-0.07106326611195679,-0.3877703698302131,-0.5631761515561969,0.4712985462431832
ADAR,0.179920850326513,0.9539243221452467,0.758192587978519,0.9274193934132228,0.2920148103710564,1.4612629335935607
ANXA1,0.7355659919540826,0.9012407381264509,2.2492842703725016,1.0283397284184432,3.463729039114677,1.3299581737887904
ANXA2,0.6954108153981492,0.6764428499888854,1.9368728756002085,0.82658282111276,3.2044516531206386,1.0098665635513355
BST2,3.2313071292409528,0.8151335001042131,inf,-1.2127880983393777,inf,1.6361950751816456
CREBBP,0.011530941530772559,1.1748923761949597,0.9100781268393565,0.8963382421206674,2.2146048369311355,1.4077312108287097
DDX58,0.7831587567894663,1.603880301218525,0.5617730887423485,1.2543775575308127,1.7538384069375113,3.1047598399988914
DUOX2,-3.46011746757597,-2.513585003158198,-4.368219476490606,-1.6414874496307692,-7.076012130353212,-1.9973189075495992
EEF1G,1.5561891486222295,0.4298983943015274,0.8017163844133934,-0.009865079255440808,1.3461774589369793,0.16362968858971993
FADD,1.7719889262823512,0.9161213780146445,1.7768487613673465,0.669506202136529,2.2473038174254722,1.1806135768337191
GBP1,-0.2626717963065273,1.5096967634529583,2.616650048961328,0.9904454152197631,2.9122888692756974,2.497650835675716
GBP2,0.24489714342864566,1.3529407881542614,-0.6687901200343463,-1.1565547236320766,0.14590791312695264,-0.17813177966087024
GBP6,inf,2.1842322526366496,inf,0.1540680569953248,0.12548233928982536,1.1980586732313891
IFI35,0.5372996770395203,1.2191553978384888,0.791363268532227,0.5049966093979755,1.38245315207969,1.8624959087835236
IFI44,0.874957458810289,1.8933672293717145,1.4020080332349343,1.1713859984048234,inf,7.822969855588892
IFI44L,3.05261094989957,5.019740681374797,inf,1.0690863284115255,5.433842890597235,8.369351405164958
IFI6,0.3460016206704653,3.184302004100919,0.1352294153148745,0.4434267866017238,4.285734753791798,4.887206101112065
IFIH1,-0.03479411504040548,0.9939682181210501,-0.3166225530017752,0.772683117889004,3.3559050413656366,3.2792188526346746
IFIT1,1.791203818911413,3.5992140027409008,2.81263441446645,1.9462474684577369,7.54932010826336,9.861696643339807
IFIT2,2.373725790929854,2.536221738732854,inf,inf,inf,inf
IFIT3,0.9756580855777226,3.001730138114129,0.9869705344600141,0.835910162633847,6.300348346224128,8.545808444135986
IFIT5,1.0087024115973036,1.7023082562930771,0.15277671666041975,0.7843999543638013,2.9426661400397602,2.846812134277898
IFITM1,1.0314579800563421,2.5910923060130884,0.21178739875838384,0.04054644185518367,2.1593694032259685,4.22162202098958
IFITM10,0.001798558584227988,-0.024060901768735158,-0.386887271624229,-1.1125014581824852,-1.459228751352976,-1.2813355653453369
IFITM2,-0.7445251684099318,-0.32070929578625423,0.8943162139247642,0.4706639641529025,1.1533699768738903,1.4136870639404662
IFITM3,1.2575460266828953,2.0254639805233414,1.0555750371656483,0.41239724925544163,1.8925595889038411,2.306417565657349
IFITM5,,,,,,
IFNA1,,,,,,
IFNA2,,,,,,
IFNAR1,0.03850006260008095,0.5739204744942747,0.08825896030965825,-0.11595776036750416,1.0791277523665772,0.6467924108873864
IFNAR2,-0.11236753513462856,0.41528787877694756,0.5137985647556532,0.0967038029488066,0.9980769123794344,0.2173360612275009
IFNB1,inf,3.634826890151552,2.1160662754493726,inf,inf,0.10553041044267776
IFNL1,inf,inf,0,0,0,inf
IFNL2,0,inf,0,0,inf,inf
IRAK1,1.2357053569587175,-0.08723316971768276,0.9401930369894475,0.6205951030601227,1.4458242946149638,1.0401488242624197
IRF1,0.7945529566100299,1.067156413525568,1.178193552729328,-0.08420134086597904,1.4999099099624884,0.6906251358189799
IRF2,0.3044601648923832,0.03312809824148822,0.3363125399691711,-0.5929065589802536,0.4135920673832547,-0.2638758236266546
IRF2BP1,2.2669107767285106,-0.13769584222499737,0.7207839231498193,1.201019304959385,0.892364554099004,1.2379284353833726
IRF2BP2,-0.022352994238842464,0.21777445049381208,0.03815081209040279,0.10531438413700105,0.9967242872657637,0.1060008627055073
IRF2BPL,1.4516590993055036,0.7315904083021889,-0.03068784614714941,0.0427280372130334,0.2866671225697879,0.31116904732490636
IRF3,0.8390552242309348,-0.002687294898580102,1.0645660350001904,0.7822006105570165,1.2887528385202558,1.0399065701610115
IRF4,,,,,,
IRF5,0.3118814074565643,1.6947797524786732,-0.5979919656332817,inf,1.4659134849329891,1.7859039182817944
IRF6,0.502064405700886,0.3380804894185619,0.7360309946855663,-0.2687663913358488,2.0566851661269894,-0.05379351189792495
IRF7,1.008055718203785,0.9661343250064452,0.3681212946823481,-0.2582490271225452,1.0812347133392515,1.0101614037803703
IRF8,0.4181465770058579,1.4669230755693623,1.5835222008351875,1.0823422015103008,1.2601299643304862,1.0666494419474544
IRF9,-0.7036179027725696,1.4077171301979152,0.7675309912000029,-0.39889274478959724,1.139966847994098,1.9924556323151157
ISG15,0.6321064771478005,3.074822644324189,2.9177541128580335,2.1973848956514646,2.7227615279511483,6.740364207703355
KPNA1,0.42658836747663803,0.5284326365090656,1.0311809347147214,0.9032819521398306,1.6182801764987613,1.194808140089766
KPNB1,0.9323518750755057,0.7367348659763876,0.673838472340097,0.5811088329562563,1.4221369641446622,0.7787827639691517
MAVS,0.7863599903419456,0.5455367401840914,1.1067505230923083,0.31796966503822666,1.5642895765825922,0.29932820910796015
MX1,0.26383482113862017,2.407008120738768,1.5695612183498115,1.093191231961501,1.8067733514404898,5.525832760591011
MX2,2.649118453584537,3.995098137672624,1.2937574705605372,0.9254487439713323,4.032191155225031,5.310947351471746
NFKB1,0.7752986924832407,2.8635862385411075,1.45065597503793,1.098513036422629,0.8455234013889374,1.1194028199234511
NFKB2,1.1309668329768094,0.673832337022117,0.8007701403179197,0.303958459053763,0.9137397182803422,0.6331331194286095
NOD2,0.7776075783448825,inf,-0.8702166386078878,inf,inf,inf
RIPK2,0.5470555368565901,0.6432737393538908,1.7798848184137084,1.00705186519635,3.2831024505734625,1.2701974686470014
NOS1,0,0,inf,1.5987948933128442,inf,1.2211575764656228
NOS2,-2.912074867352076,0.24977068530796626,-2.927276951139274,3.2846086970266577,0.458556593709651,3.729557144452731
NOS3,inf,inf,inf,0.013377388244267914,inf,-1.3095070876153643
OAS1,-0.1403630511765082,0.9583918240614981,2.334870380103572,1.1076992835351442,3.037140775926855,2.272428008285774
OASL,2.1717557478519094,3.4482503747019217,1.9520361449856993,-0.3213270208743656,2.859754791287401,3.3737773274400555
PIAS1,-0.21582232530925394,0.13316075117080828,-0.18150965298322322,-0.26901734403526434,-0.013998484265422934,-0.4229029842346035
S100A10,1.0567375250334976,0.8841403911483335,1.7434351108517545,0.7888626757231774,2.306878824910929,0.9200055696153319
S100A11,0.8998832343803506,0.24596078411322073,1.368402756684058,0.6098000353516033,2.491137083383903,0.8415183910574644
SOCS3,0.3633453786912428,inf,3.185347267199638,2.19007390352832,4.7303927731329045,1.131125212217569
STAT1,0.5353342875853792,1.26554790825757,1.195661355179491,0.8984696327644198,2.1381786830166347,2.1224495338149088
STAT2,1.0716038683342095,0.7198354074586988,2.0838144810222747,2.147546689937551,1.952664612119776,2.0873330503084357
TRAF3,-0.06237844750888339,0.35921857460307965,1.8111073610687385,1.2974583727842408,1.778133494330811,1.316951705660896
TRAF6,0.4000980842721972,1.1378364918134902,-0.006740091359158327,-0.10200213764798818,1.285421522012048,-0.5094084861633259
TRIM16,1.929003592701713,1.265817586394852,3.3051638534598213,2.2610099149704403,4.862429516823431,2.1389604297118994
TRIM16L,-1.2222428079965193,1.5469519543207009,1.4020081881699644,-0.1869552401086478,0.617916475441334,0.4354066872210333
TRIM17,,,,,,
TRIM2,0.39424095481068916,0.01793308138466848,0.34073568452739006,0.1380433683804446,0.6163304801900833,0.1977761703591577
TRIM21,0.5663913245939598,1.113229849195142,0.8297010915716099,0.5710737808932969,1.2866348413991162,1.4237425500001117
TRIM22,0.898782512615295,0.45851233742400843,0.3717850268676922,1.2810286763735834,1.5738100964925512,2.7567176176452945
