,fold-change Control7 7a72,fold-change Control7 7b72
AKR1B1,0.4580607564153124,0.5654649898357799
ALDH4A1,1.3330190792614511,0.7777679668852558
CBR1,-0.2869990739039432,0.47662525297891856
COMT,0.5678942517477429,0.7499262601859084
DBH,,
DDC,-0.13586779010384378,0.7787447883600699
DHFR,1.0387827156108986,1.0576984921235806
DYRK1B,0.23841453395630288,-0.65343629563731
FAH,-0.3878131084356955,0.15706608359735713
FPGS,1.1099818639135985,0.3602817612650477
GART,1.232156602305548,0.5382432443210784
GGH,0.6702577154467241,0.666037877364629
GLUD1,0.4004910904732121,0.5958667843030424
GLUD2,0,inf
GOT1,0.8022329675064614,0.07750505248761655
GPT,-0.6331560119511718,-0.21902054319211256
GPT2,0.9746117606016695,1.2487202316695507
GSTZ1,1.029077817925351,0.8127076225510252
HGD,0.7845873544517105,0.13239143712737542
HNF1A,1.6461100997065115,0.6883031627419653
HPD,,
MAOA,-0.12204315901943397,0.24323314775411672
MAOB,-0.1815805130393501,0.39260404286867623
MDH1,0.5121449894964715,0.8794662913144042
MTHFD1,1.016071264382646,1.0161454200224378
MTHFD1L,0.46535179051885206,0.41298775835807416
PAH,,
PCBD1,0.8616081631902286,0.6147481650754787
PCBD2,0.46672545046348946,-0.3444021892579794
PTS,0.6276999423890539,0.7498190451510744
QDPR,0.2968763710953997,0.2875308733222155
SHMT1,1.6302547232631506,1.3750850393102876
SHMT2,1.075384700353016,0.669004767297259
SORD,0.8450380662599042,0.6759145720702311
SPR,0.22007883150596788,-0.006489543030823974
TAT,-0.12312636838088181,1.4109917837608164
TH,inf,inf
TPH1,,
TPH2,,
TYMS,1.2985938662792313,-0.28240305299625645
UAP1L1,-0.036627508674112644,-0.9062470921860235
ADSS,0.7055843116529217,0.5229946165534951
ADSSL1,2.2019935546175957,2.147621257885708
ALPI,0.9439878273907643,1.641235796731231
ALPL,,
ALPP,1.9227582420835725,1.6347449370823859
ALPPL2,-0.47104967172954193,-0.6625973502595336
AMPD1,,
ATIC,0.8581847538614392,0.7034469061249459
ENPP1,-1.247340901513486,0.2628029717923106
ENTPD5,0.30413053290641107,0.4708934700279566
ENTPD6,0.31667984988447734,0.40813134236564763
GCH1,0.34128892498339525,0.21111643580901185
GCHFR,0.09081786684565854,0.556009321579503
GMPR,2.003872565334845,2.684427195589219
GMPR2,0.8044003592021759,0.7727906444384808
GMPS,0.5675086722638836,0.7419128133052134
GPHN,0.10045603745326957,0.5688201690828198
GUK1,0.4813532798065661,0.8448424844657464
IBSP,,
IMPDH1,0.46913296630343343,0.10288626538364921
IMPDH2,1.1313724160172431,0.5381777000603043
ITPA,1.2954764669241485,0.9974761641619058
MOCS1,-2.2679905415249357,-1.1419939665194163
MOCS2,0.9294749948991529,1.0170334107184038
NME7,1.23728651653106,-0.6142854298241691
NUDT16,0.8990111441659547,0.13757792229115126
SUOX,0.36475659396496346,0.8091385686956118
THY1,,
TPMT,-0.2367462672568684,0.5548937147591086
TYR,,
PRKG2,-1.1283083050491698,-2.641784077673589
CYGB,inf,inf
MTX1,0.17953690278302714,0.6500839239718734
CR,,
DDAH1,0.008637008109491796,0.521180424867925
DDAH2,0.08365521760030037,0.038819558875577094
ASRGL1,1.2861234687274412,0.21210274032075022
DHNTP,,
DNAJC12,inf,-0.1302313346552151
APBA2,,
FOXP2,,
ARHGEF12,0.262394623719675,0.2563921727890803
CDK5R1,-1.103666685977686,0.9115240648275691
FYN,1.3553224924903169,0.7089278452350255
GPX1,0.6576510467665688,0.8493882899032967
SLC6A4,-1.6455551354706943,0.06473635832343143
MAGED1,0.4515167424114882,0.545425393742677
NR4A2,1.3539648211719006,0.6926198648667917
TDO2,,
NR4A1,1.0251532279697126,0.7085725233227942
NR4A3,0,inf
TG,,
CADPS,0.3937425271533299,0.617774292935975
CADM4,1.6825780722148185,0.042968852788382764
HTR2A,0,inf
HTR2B,inf,-1.2133439591916584
HTR2C,,
P2RX7,-1.471049672775288,0.7023367435634181
SLC2A4,-2.946462564384134,-0.667948985296594
STXBP5,0.9480756335504935,1.0577599611471786
STXBP1,0.6566414446106851,0.3496094613151762
STXBP2,0.43324038173205587,0.26749596591307456
STXBP4,1.029834971945287,1.6112537171168821
HTR1A,,
HTR1B,0,0
HTR1D,0.3578696336274854,-0.37070978326519977
HTR6,,
HTR7,1.721595405550716,inf
TIPRL,1.0129200865147163,0.9482411002609271
