,fold-change control mujer case1 lung,fold-change control mujer case1 heart,fold-change control hombre case2 lung,fold-change control hombre case2 jejunum,fold-change control hombre case2 heart,fold-change control hombre case3 lung,fold-change control hombre case3 heart,fold-change control mujer case4 lung,fold-change control mujer case4 heart,fold-change control mujer case4 liver,fold-change control mujer case4 kidney,fold-change control mujer case4 bowel,fold-change control hombre case5 lung,fold-change control hombre case5 fat,fold-change control hombre case5 skin,fold-change control hombre case5 bowel,fold-change control hombre case5 liver,fold-change control hombre case5 kidney,fold-change control hombre case5 heart,fold-change control hombre case5 marrow,fold-change control hombre case6 lung,fold-change control mujer case7 lung,fold-change control hombre case8 lung,fold-change control hombre case8 liver,fold-change control hombre case8 bowel,fold-change control hombre case8 heart,fold-change control mujer case9 lung,fold-change control mujer case10 lung,fold-change control mujer case10 liver,fold-change control hombre case11 lung,fold-change control hombre case11 kidney,fold-change control hombre case11 bowel,fold-change control mujer case12 liver,fold-change control hombre caseA lung,fold-change control hombre caseB lung,fold-change control hombre caseC lung,fold-change control hombre caseF lung,fold-change control hombre caseE lung,fold-change control hombre caseG lung,fold-change control hombre caseH lung,fold-change control hombre caseI lung,fold-change control mujer caseD lung,fold-change control mujer caseJ lung,fold-change control mujer caseP1 placenta,fold-change control mujer caseP2 placenta,fold-change control hombre caseP3 placenta,fold-change control hombre caseP4 placenta
DUOX1,-1.2984397831514398,inf,0.5392624753146084,-5.50394671007857,-4.840584205952369,0.36404849796643135,-5.137214581057763,2.4297832969507653,inf,inf,,-6.512082571626782,0.8563374199029605,inf,-1.9831905761329482,-5.480709242316681,inf,-5.921366860668408,-4.305560944181614,-4.057571244266722,2.297455782835959,-0.6916199444680693,-0.7653867348552834,inf,-2.472608743545562,-5.334617740473241,-1.3631978848757238,0.40623197197088606,2.302766886977746,-0.3466547154350748,-1.5669361260937162,-6.10235916601356,3.080374465641299,-3.956642335415939,1.683206658481309,-0.7075195484649714,-2.5328972526068405,0.7868853045829828,2.2755134705306097,1.9840623224544054,-2.863068220103735,-3.941993347387154,0.4492417834872152,-2.920563651934375,-4.621523166500421,-3.603695018273933,-4.173048461686657
ADAR,0.07916350600532661,-1.4092780516452987,0.36445183553157495,-0.09202366216476815,-2.0225018101061747,0.08742775804794439,-1.256396429863603,-0.7847583469681798,-2.6823252774721813,-0.2517367746588289,inf,-1.5507221630887693,-0.18626622644229235,-2.843816674008612,-1.4006215233566444,-0.9856685616685591,-3.9964270901487535,-1.5183219641010552,-1.1900450153688056,-1.017096427084077,1.8890627189472033,-0.188929952107875,1.133370049501612,0.43746943638140173,0.027991462444460342,-0.4134418516629409,-0.20587055690318287,-0.2824923669280506,0.18566853764847532,0.8162786741852405,0.6460058870936946,1.344540020143218,3.7706310383696318,-1.3388585900555807,1.8568255418576862,0.4600120050324925,-1.5780785199689051,0.8878351202611244,0.6052233387820887,0.6322197168582876,-0.9418923312934406,-4.1448215707423035,-0.1240775001935188,0.6729222515765179,0.7097041801669735,0.8933328782995511,0.010816318636326247
ANXA1,1.154759165398306,-1.8718015380295618,0.3707656316018724,-1.4360958370985955,-3.825200752866525,0.026083301745270834,-2.498207006881656,0.36469108035173825,-2.2086367198860137,-1.6576767326767232,inf,-1.985691169718198,0.16657355751459463,-0.18708399813167023,-0.2808570665880146,-1.5430809467452866,-4.239698624295089,-2.8535159876884317,-1.0866440970106377,-0.5116730744820998,2.322867253910257,0.8362584933453959,0.5671862998011324,-3.8730241465776447,-1.096635575203258,-2.6146901709135686,0.3938600747515684,2.2302642380118294,-0.9207111385105102,0.753011080887933,-0.6060004570302492,-1.3183012590341725,3.249213862931806,0.09826948185653608,1.9105357454684837,0.10317348501788519,-1.2135076126308995,-0.3105123366698798,0.541227130724002,0.4005318294364991,-2.143140650544064,0.08482704503091852,0.32900891404240246,2.0122412943973242,1.548317217523309,2.37220235356189,1.4235820766213532
ANXA2,-0.23389744239460447,-1.2150094059329497,0.5386998561426806,-1.5962711564583099,-3.012135343482681,0.10555230404522614,-1.636522892277633,-0.5401924357368936,-1.944524178272056,inf,,-1.8790961201820613,0.4903516268492369,-2.447796514887373,-0.29929492539726366,-1.703579157131972,-2.479100634805379,-2.2397593865279926,-0.5733273969712318,-3.7910012694051503,1.5167606536167315,-0.06608281588117632,0.02504228395261964,-3.259267545417207,-0.8494179556304753,-2.1028131837723443,0.058448687870369276,-0.24219379745769656,0.7360809935861004,0.252231341889812,-0.13809472233326806,-1.5416060867475294,1.3210434943072582,-0.6066563523667342,2.1332849167131553,0.0430745358667523,-0.8549100941451232,-0.0703733074083058,0.734728523334574,0.42037697314829553,-0.6489656651363009,-1.2418927000838964,0.3210434943072583,0.29023802172626784,0.5119147066622654,0.7266478246760204,0.4437942337562381
BST2,1.927569227132359,0.5834619685836432,1.1311763036938398,1.4311682991671024,-2.278023364664018,1.0346337034651159,-0.6164739154640411,0.8816910257873363,-1.4756783034985526,0.2715179622688974,,-0.9329217896540422,0.7954664221574679,-2.151805648460602,-0.912482831174278,-0.19152475108359016,-1.7449886559867216,-1.2592703458291492,-1.880503626643206,-1.6019256068948875,1.415074442888502,0.1508528993111075,1.6644171568650443,1.7509688386756888,0.894031887767523,-0.4919489799921577,0.425072874183452,1.453955642203482,-0.9915164435648898,1.6122974951937068,2.3175528100819873,2.2967029429919066,3.5934460571562665,-2.6164739154640455,1.3712983818535125,2.2759553584388885,-1.633301424040924,1.6875216633352876,1.331585869120881,0.9600369205419321,-0.9379372994306833,-1.6215668338145772,0.10726171091328408,0.9690092318580436,0.7545807815107337,1.6147146135417536,0.20664832245187872
CREBBP,-0.0806600831359493,-0.506275730880152,0.7507062104274135,0.8716280417822947,-0.678788745123238,0.663810537203935,-0.4672722165583059,0.7839794684515624,-1.3703389812290343,0.7667427635262622,inf,-0.7171898169636508,0.43664743627846697,-0.33017860758336787,-0.29334865419579026,-0.148988780045241,-2.271284918529794,-1.314786557166383,-0.5251945899885089,-0.7802985660176575,2.6171935212077932,-0.4098250167578023,0.05980112618663778,-1.556687137392046,0.4682777871224463,-0.6148268265232203,-1.1318338719390932,0.32648269925338913,0.7667427635262622,0.1538132412608085,0.8511990879951968,0.8610548473240286,2.3517052642474185,-2.264332157888035,2.680531547960233,0.025432613560288253,-1.1212513749345174,0.800450835069118,1.0415025225010979,1.8295984384828632,-1.478880337938161,-6.255625049502195,0.11195881330753385,-0.07549511222759568,-0.24215855452337245,1.7194037348267162,-0.1849399210960392
DDX58,1.358904133063093,-1.4306239902384423,0.9969961530473614,0.217450897671391,-3.926541520260008,1.3220656709949323,-1.152782567474001,-1.0442640227560818,-4.420639901665823,inf,,-0.9851909423640184,0.8733912747171162,1.0070311180010203,-1.1686835639915092,-1.6921974387081844,-2.393506811582706,-3.0073241749760515,-1.0435949550689458,-1.8216004636869967,4.317355405499942,0.7245405452228388,3.124553027180237,2.1024506830797005,-0.02805134115442607,0.9717423679978796,1.8954064989130777,0.21440667779676814,1.164322599055334,2.705280311767218,1.9320690603197979,2.8777727101365733,inf,-1.457637149002429,3.1378177255363706,1.3991682151697822,-0.40735046172077205,2.996383873801507,0.8883866215024019,1.0793453228169094,-1.3640630336902229,inf,0.5331899169012513,3.7984896487602806,2.7574163888676386,1.7576812806351072,1.2328473203353756
DUOX2,-3.612845599982233,inf,2.3674910920242622,0.2645833703022387,inf,3.2514142732215507,inf,4.216084038784892,inf,3.8803501443724975,inf,-3.3901787980082196,3.3975045542001094,inf,-0.7065135920818124,3.9507858507865614,0.46098058310574647,inf,inf,inf,10.171831519465867,2.2881451923046403,2.8676905422414696,inf,1.1259963353929348,2.4339123399075713,-2.5926691585403203,-0.491208718239459,5.424670660596313,2.2903950565788707,6.2015939542870955,inf,6.202278239259867,inf,4.7292707143910295,inf,2.862174432246522,2.5110212656053377,5.257447189020612,1.7639077160630536,inf,-0.8200895737685899,-1.3713689482334581,-1.3414371489272092,-1.8099842810034377,1.429778426262051,1.8178740400306022
EEF1G,0,0,0,0,0,0,0,0,0,0,,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inf,0,0,0,0,0,0,inf,0,0
FADD,-0.08164355597227635,0.041668291753816984,0.14272598540263487,-2.0965789836245863,-2.4332164794983844,1.2929314670127559,-1.4668124487699803,0.10610016434881413,1.9736498683251669,3.8996492868813815,,-0.7859171547781748,1.4013631498173134,inf,-0.7457478511212748,0.14905090547375152,-1.9001817708210786,-0.5139991342144231,-0.7726623356437704,1.1571514042448723,4.235956010080442,0.34384181412840437,0.3228478389443283,inf,inf,-0.9272500140192534,-0.3397192688861371,-0.3069705145416058,2.6366148810475947,1.7659463128083792,inf,1.1123634824980317,7.221577381768751,inf,1.046180265576842,0.5705651610440484,-0.7884945388752823,1.9572138337361176,1.1593192409275805,1.724673457023589,-0.4557004936497517,-0.8007904312597058,1.8178551957177427,0.3524392783964453,0.42483559190685066,1.1793161494932898,-1.0287151410664643
