,fold-change control1 case1 lung,fold-change control1 case1 heart,fold-change control2 case2 lung,fold-change control2 case2 jejunum,fold-change control2 case2 heart,fold-change control3 case3 lung,fold-change control3 case3 liver,fold-change control4 case4 lung,fold-change control4 case4 heart,fold-change control4 case4 liver,fold-change control4 case4 kidney,fold-change control4 case4 bowel,fold-change control5 case5 lung,fold-change control5 case5 fat,fold-change control5 case5 skin,fold-change control5 case5 bowel,fold-change control5 case5 liver,fold-change control5 case5 kidney,fold-change control5 case5 heart,fold-change control5 case5 marrow
AKR1B1,-1.1208296285889796,0.7282806457452077,1.0311338458712527,-2.0608822421470214,0.865514667812979,-0.49958410770520006,-3.978355357795631,3.269778541524632,2.060915129981819,inf,,0.4879441401480691,-1.3585874973279994,inf,-2.6397565431593497,-2.367888137484498,-4.931693986609093,-0.9605488492812766,-0.8655750960959218,-3.359787638713377
ALDH4A1,-2.9052544864610903,1.893339892015707,-0.290279565358219,-1.7978478363132249,-0.5495228314658666,2.1192435065213346,5.088406574591277,6.435456571866757,1.2380508340023406,8.086047740557285,inf,-0.18448120182342553,0.06844177418176989,inf,-1.192297566188129,-1.3678881374844971,-0.024803391000565674,-0.22358325511506974,-1.4822464565444173,-1.3597876387133836
CBR1,0.45974185388998845,-0.981129225900437,1.648783267851532,0.3176293811067024,0.36801500834215717,1.5856636099733705,0.21804185500787707,0.335567339916604,-0.12058014384746106,inf,,0.056526897680368275,0.07116616675912613,inf,-0.3902369438000332,-0.5137390039479481,-2.7252431091416556,-2.9240229732561596,-0.9602937533490536,-1.2528724347968643
COMT,0.1628106729624734,-0.16029807158636816,1.684245070710764,1.2377760734174974,-0.36895058582404044,1.2695533041977825,0.6609853508566058,0.7173839032599072,0.5947146280288486,2.4811856823984266,inf,-0.8351469495954118,0.1693118746345022,inf,-0.44022507963171215,-0.3120349027509796,-0.27273090444415543,-1.0120791499213568,-0.9575844660910741,-0.6077151521569688
DBH,inf,0,0,0,0,inf,inf,1.292498618024719,inf,inf,,inf,-4.150569067623294,inf,inf,inf,-0.6097658917217208,-0.22358325511506247,inf,inf
DDC,0,inf,0,0,0,inf,inf,0,0,0,,inf,0,0,0,0,0,0,0,0
DHFR,0.5254893835244754,inf,-0.7577587702934345,-0.3828103370343803,-3.304410333629335,0.7672521083578987,-1.0714647621871112,0.5148910393611689,inf,inf,,0.4004812988977325,-1.0344884717468406,-0.909667680279093,-2.4776997850503744,-4.483365354904431,-4.310205609862815,-3.9240229732561573,inf,0.187700156589114
DYRK1B,0.7436273039787553,-0.5216976072631375,inf,inf,inf,0.2317326505496803,inf,0.9705705231373575,1.823013334723501,inf,,0.4004812988977308,3.1362337171987815,inf,1.5446680279780831,0.8020368639578196,inf,1.3613792456060916,-0.4822464565444128,-0.359787638713379
FAH,0.12456904427729423,-1.4285882028716554,0.08276477580155688,-1.3828103370343878,-1.8714509263532357,0.02113213975163868,1.513497738534046,-1.152286224648174,inf,2.056300397163234,,-1.2142285452174764,-0.556322392440853,inf,-2.36222256763044,-2.367888137484499,-1.4171208137793307,-1.8085457558362246,-3.1375982851569693,-2.4301769666047752
FPGS,-1.5633093389127781,-3.392062326846541,-1.037189208825261,-4.885310677563566,-1.900020078550002,-0.7480695260472566,-0.7148439491335882,3.3738869448653763,0.9771842648512621,1.8636553192208398,inf,-0.9474420045225765,2.089929362577605,1.205809537140842,1.0300948551483182,1.905130356921921,-1.1947283924428858,0.7764167448849362,1.5957560554568613,2.142712701815803
GART,0.30111641356373475,-0.40434065662497903,2.0666537205701583,0.7257141197437912,-0.5495228314658656,0.49083751326863095,-0.647657053280534,-1.6847813054751979,-0.8209935202950431,inf,,-1.4068736231598709,1.034218051445039,inf,0.14873935164694205,-0.08495417421299838,-3.516656487330248,-0.4300341325824961,0.23535381275486192,0.6875180760649777
GGH,0.5572633351646789,inf,inf,inf,inf,inf,inf,-1.0294294768626457,inf,inf,,-1.9214467959896369,-0.3395686780733718,inf,-1.5142256610754905,-1.5198912309295465,-0.12433906455148452,-0.5455113500024302,-1.3891370521529316,0.3182842663992547
GLUD1,0.45540573734013456,0.7539368353502869,0.5077460975266744,-0.19016525909198911,-1.6199121593572645,-0.718333531064375,-0.35746031646421556,-1.9225142729461289,inf,0.6486424282499892,,-0.3181057659536195,-0.6102279889980633,-0.7117283026671783,-1.0965385833826908,-1.106622824503754,-1.9423412308085934,-2.851614477728105,-1.4404262808497819,-3.6398955579061085
GLUD2,1.4200680689149714,inf,inf,0,0,-0.15621796835793664,-0.7819581449921266,inf,inf,inf,,inf,-0.14674858331990995,inf,inf,-0.04596004259713047,-0.6097658917217208,inf,inf,-0.359787638713379
GOT1,0.11571392428941032,2.349019375791896,0.3844190476553828,0.9391177578529748,3.138533162219388,0.6546421228341281,3.8904671969793703,0.24187254495475038,3.4441743841760437,4.397991746872025,inf,-1.6501447741722393,0.5587149498482189,inf,-0.8597222271012502,-1.3678881374844891,-0.07925117502294152,inf,1.922737378070512,-0.7223577180980816
GPT,0.7510384649959961,3.4783023927368646,inf,0,inf,0.3241752210763283,4.709894951337547,6.42178163496968,2.5599789288897057,8.407975835444654,,inf,inf,0,0,0,inf,0,inf,0
GPT2,0.9158002100088947,2.810877731823731,-1.545410942347998,-1.212885335592071,0.3509414949832172,1.128752507688688,3.424492732475301,0.1770214006047843,1.3824407433375203,6.970570523137354,inf,0.8699665821989501,0.3836986054107431,inf,2.052814931648412,0.10604305084792032,-1.194728392442877,-0.3935082565573767,-0.9152058638205183,-0.9447501394345342
GSTZ1,0.31853969899567147,1.1563742978495022,1.4209487614468443,0.2021521636867772,-0.1344853321870187,2.2871361861068755,1.387966856450184,5.684816040803476,0.5010852398361361,inf,inf,0.6635157047315238,inf,0,inf,inf,inf,inf,inf,inf
