,"fold-change edad [0,12]","fold-change edad [13,19]","fold-change edad [20,99]",fold-change mujer,fold-change hombre,"fold-change mujer edad [0,12]","fold-change mujer edad [13,19]","fold-change mujer edad [20,99]","fold-change hombre edad [0,12]","fold-change hombre edad [13,19]","fold-change hombre edad [20,99]"
DUOX1,-0.004168058153802949,0.0,-0.06914755670118938,-0.040803029875430226,-0.10123414363315994,-0.37625284939677806,0.0,-0.01078675066282287,0.07579015039070275,0.0,-0.08044837980988859
ADAR,0.1109204318087335,0.0,-0.034561466970582023,0.0014464922269607162,0.026068432301781713,0.22284829719968743,0.0,-0.0491378672903046,0.016064514154273717,0.0,0.05643860860916768
ANXA1,0.0810468505338223,0.0,0.030899473899236248,0.01442279581798193,0.05627665082753235,-0.04190006790564632,0.0,0.01988616963550045,0.03136968966359305,0.0,0.023773116858437606
ANXA2,0.0002709779542824012,0.0,0.06036506658554371,-0.027481659191656134,0.07266078830111512,-0.16550797870009107,0.0,0.007659993325998237,0.04334962720885331,0.0,0.07874817218012044
BST2,0.0611667330185332,0.0,-0.09806177305337936,-0.043785244667399935,-0.055243775363912166,0.09875942072099592,0.0,-0.061388717432147355,0.06849482880672514,0.0,-0.08239146088670733
CREBBP,0.12907438137671665,0.0,-0.0954571989199802,-0.017827132388136865,-0.05358425010468595,0.2837787823672005,0.0,-0.07359861300639431,0.03063583441911532,0.0,-0.045035535265389226
DDX58,0.13050883318043396,0.0,-0.002109604974789702,0.020977009928042252,0.07329505906898545,0.08443454322580192,0.0,-0.00275729168282285,0.06195471800247881,0.0,0.11467091332601395
DUOX2,0.0021152465313226095,0.0,-0.016134529959803506,-0.01686014312151546,0.19807950635329913,0.6168673126133215,0.0,-0.07071345256537975,0.013467937745253303,0.0,0.19887394887361423
EEF1G,0.08022299077352245,0.0,-0.04681899844381882,0.02399599407030565,-0.08016872494340667,0.4712362589294362,0.0,-0.016372538801833317,-0.04720706013219133,0.0,0.03655732272724318
FADD,0.04030756300002376,0.0,-0.05036569158999258,-0.05603368700558452,-0.004075791556622358,0.06730399877299027,0.0,-0.06801729452769108,0.052796846783237435,0.0,0.03072174874993881
GBP1,0.1366384776337011,0.0,0.09474839395376547,0.2235060705302129,0.09538718900350322,0.6850088574483301,0.0,-0.04693360072275533,-0.010184390060200506,0.0,0.14850401530181281
GBP2,0.1978277121671293,0.0,0.04090737114403752,0.11870634503097419,0.12576300042037714,0.4731200692981734,0.0,-0.01386460917018795,0.05455583848241601,0.0,0.13551465929750706
GBP6,-0.01411794658448768,0.0,0.031039191034314347,0.17193585901108438,0.08471777988816062,0.4001443699708709,0.0,0.02931477047035204,-0.12362409726543123,0.0,0.12444186758963983
IFI35,0.11282083282047677,0.0,-0.051286072702293246,0.03865075924702922,-0.048745286240589394,0.23460024808817795,0.0,-0.044361053566984325,0.07838664980734998,0.0,-0.06815201881393783
IFI44,0.3106825556404828,0.0,-0.004039327844403027,0.04550514883036455,0.032285500911827775,0.7203813845467459,0.0,-0.010746391088604819,0.08745485820649988,0.0,0.11529879340812638
IFI44L,0.3742561066745066,0.0,-0.011912490542970106,0.050783646624817255,0.023483110209591783,0.5287459163906728,0.0,0.016799959248977526,0.18611981818777676,0.0,0.1275500553258052
IFI6,0.13177807047957218,0.0,-0.05870072958572367,0.008720164709975102,0.018562691499816833,0.16170707462737807,0.0,-0.03780385540869043,0.051628534985804206,0.0,0.050817213954195015
IFIH1,0.29646963561957074,0.0,-0.021404900216999968,0.09855222037009508,-0.0014753472013046343,0.7145133910140588,0.0,-0.023760462976469367,0.0010432400847819642,0.0,0.03760602832467533
IFIT1,0.42995582617138567,0.0,-0.06985064098939997,-0.034898503905795054,0.12435031983677526,0.46480797523642914,0.0,-0.0533606782039408,0.1884913589133474,0.0,0.15414625222470404
IFIT2,0.23879294683914112,0.0,-0.06585647851186291,-0.002734939278822481,0.13187519483559115,0.44925203653758916,0.0,-0.08387564743391623,0.0017937650566406218,0.0,0.12267541542165182
IFIT3,0.4649583420010222,0.0,-0.025687483279807025,0.06515161478863983,0.16654000461477994,0.7310997984979333,0.0,-0.047046106427708366,0.1205584225664666,0.0,0.15020590372331546
IFIT5,0.182212606594865,0.0,0.025742839206185853,0.07871250349340471,0.015190991123429538,0.33558770484596456,0.0,0.005593685721007634,-0.008992804710710879,0.0,0.11486075032841399
IFITM1,0.020834711746383464,0.0,0.008610597101233883,0.12016238645127506,-0.021339189507218234,-0.02689653377959257,0.0,0.029361731439203363,0.011829173272366779,0.0,-0.01720284103475551
