,"fold-change edad [0,12] - other virus","fold-change edad [13,19] - other virus","fold-change edad [20,99] - other virus",fold-change mujeres - other virus,fold-change hombres - other virus,"fold-change mujeres en edad [0,12] - other virus","fold-change mujeres en edad [20,99] - other virus","fold-change hombres en edad [0,12] - other virus","fold-change hombres en edad [13,19] - other virus","fold-change hombres en edad [20,99] - other virus"
DUOX1,0.139080673484098,-3.1799186582736416,-0.7750817899517399,-1.237280147187231,-0.5099015895931056,0.07087914451679188,-1.3229652168340458,0.7885178263837801,-2.9769092147787775,-0.49933297178714414
ADAR,1.5249109340098537,0.38897155683020296,0.9456807410147489,1.1848425288234834,1.0018499184331036,2.073256175702512,0.5822216142358702,0.8571501729826755,0.6794911367423289,1.2141100222321606
ANXA1,-1.8562377953606417,-0.4450870279038321,-0.647825009866349,-0.6866020668529743,-1.7073429715010149,-0.7677326229942458,-0.7384223770988119,-1.7634037731199639,-0.45403217482412206,-0.5815942272982714
ANXA2,-0.9218220361662853,-0.5296688051572304,-0.6039498314049901,-0.20647196177847693,-1.2390939877822411,0.010282010432409252,-0.627221711985404,-1.2287076310104212,-0.5733135263115627,-0.5548921239635081
BST2,1.403571176428261,1.3353765683229222,1.9678490192284923,1.7753397745459316,1.7672021322752423,1.3684866322898437,1.9668695639331033,1.74013021118493,1.3521617161046415,1.9206315740653648
CREBBP,-0.18256134554358755,-1.4524821545089455,-0.13292552748942021,0.03452988957553481,-0.38554738436365743,0.3969100756818371,-0.12319200331707256,-0.4553655418472477,-1.7490603281900727,-0.15898898980175377
DDX58,2.045133014191788,2.192799362934515,3.049202710166203,3.9706471740832043,1.2314078576673668,4.930901936992474,2.410748532231077,-3.2285253833849543,2.263813801403592,3.462725558788153
DUOX2,2.4295034467938494,1.636458910842593,0.9125452087369756,0.8215249872966547,1.569721738786471,1.4816547400516682,0.7720067354984966,3.5665732896080224,2.0848249405574273,1.0088146475976476
EEF1G,-0.5843393509068209,-1.27717467446722,-0.8058644540872939,-0.9798209583409572,-0.6067116554037228,-1.0040487386247248,-1.0657525331392343,0.3446874616149382,-1.2984739311797797,-0.6545429738827698
FADD,0.4123587992704035,0.6043637353896543,-0.40523637554206227,0.019927924622179027,-0.23513425663633014,0.9801322071566784,-0.6417218700906455,-1.3097098060693322,0.2983743755406968,-0.17645005063473757
GBP1,2.515960512991742,1.667522862090106,3.8124810785305887,3.603515848661751,2.898473502873756,4.515067257145654,2.9088725109495117,-0.3374196127361131,2.7051358010781357,4.3152622775087774
GBP2,0.940673224560702,0.10984740497109038,2.0775318736702872,1.6033911960017244,1.8360093343244903,2.0704255160221807,1.547234254262481,-0.595617948727365,1.6169217101777338,2.53487070949488
GBP6,-0.09348675943785936,0.7178982101065203,-0.19538103018597827,-0.3770584418681925,0.07008927261025251,0.7697775029425269,-1.2592995201499377,-1.943900024298518,0.6252640952003264,0.38892800920423914
IFI35,1.6040592183343898,0.2730932233883264,1.7449296008504007,1.6872007055348874,1.5281045606807617,1.7623184657118025,1.5130362124869812,0.8801626230398912,-0.07772081856059344,1.8892881671215414
