,fold-change CB,fold-change MB
AKR1B1,-0.4177273143509951,-0.49278515135360534
ALDH4A1,0.18081996817679089,0.27672721793355487
CBR1,-0.4900182389129834,-0.38025746959013607
COMT,0.19156085811293017,0.08175073671472254
DBH,0.2564015153563593,0.9959166651979875
DDC,-2.68597915720428,1.4564193859039696
DHFR,-0.10615834835771204,0.31944009440944937
DYRK1B,-0.08689206735704849,0.20188340145679418
FAH,-0.21701558671658244,0.10242373294394726
FPGS,0.4216659645931473,-0.13755950632439473
GART,0.13682648699304528,0.18418183443877723
GGH,-1.2604135038946578,0.07877358635333714
GLUD1,0.1712132212039876,0.0036571060563207842
GLUD2,,
GOT1,-0.448248479906918,0.1717088987434396
GPT,1.4714929262122565,-0.4712369510589452
GPT2,-1.6060386846646277,-1.102322120130978
GSTZ1,-0.2828488222073927,-0.04012510756760438
HGD,0.32663042809011333,0.30172313105958415
HNF1A,0.512625769418815,-1.7271662352030597
HPD,-0.5243716557546554,-0.07392678709350664
MAOA,1.483778469883297,-0.8337968359637049
MAOB,0.5647713193818665,-0.2025136329103113
MDH1,-0.14858051139842005,0.1442533501873738
MTHFD1,0.12873584674478458,0.051918310815539284
MTHFD1L,-0.5834961933398858,-0.8029923870748295
PAH,inf,0.3239302167077612
PCBD1,-0.5037145932706224,-0.20337889323749486
PCBD2,0.6591470467162255,-0.29905875296309864
PTS,-0.29308585765267225,0.10614353001946246
QDPR,-0.07089442229347058,0.10183190414690288
SHMT1,-0.5363227000841998,-0.3424270872393719
SHMT2,-0.10304200463055883,0.014017102724161677
SORD,0.24591627468482288,0.08153803058079359
SPR,-0.8782088224946341,-0.3025010808087663
TAT,-2.8112415746277297,-0.3527886794634725
TH,inf,0
TPH1,0.12908980080510893,0.5190048738918882
TPH2,-0.18714022824759566,0.6643331862083494
TYMS,-1.7744242801844095,-0.5975876109206943
UAP1L1,0.5744914543621513,0.17232119603351023
ADSS,0.3918716069053869,0.025939052845765826
ADSSL1,0.16250363338499238,-0.5849528117375313
ALPI,0,0
ALPL,-0.08760592478050462,-0.18335718800590212
ALPP,8.993466016789297,1.2922068353039233
ALPPL2,inf,0
AMPD1,0,inf
ATIC,-0.003490542884526763,0.06345648538056671
ENPP1,0.33370299127415615,-3.0362678222162316
ENTPD5,-0.20037282043808,0.1532863873931305
ENTPD6,0.3326428268943998,0.15167800466526474
GCH1,0.3401561397272585,0.3461117802259272
GCHFR,0.1424515947330163,-0.1231748044871083
GMPR,-0.4106559552920965,0.2934047364048952
GMPR2,0.19169587459799425,-0.03779996665576442
GMPS,-0.4921721907924365,-0.32859580599314536
GPHN,1.1602733534250973,0.1869311481336306
GUK1,-0.36464521517682547,-0.07181345914636174
IBSP,inf,0
IMPDH1,0.5767851420353752,-0.20434948157308733
IMPDH2,-0.21096299177445885,-0.13575981312551716
ITPA,0.35204869925834953,0.12208371318628887
MOCS1,-0.7207437976488383,-2.074815116139816
MOCS2,-0.01626674397442657,0.3141362244339265
NME7,0.5966768111621595,0.43137619300598085
NUDT16,0.2735435124837046,0.3128770432019043
SUOX,-0.2740117817396268,0.129288576976053
THY1,-3.731309494866019,-5.540899517806271
TPMT,0.08130395596043677,0.3517432324167086
TYR,0.5813698337463591,0.48153116398626666
