,fold-change CB,fold-change MB
DUOX1,0.32685302020706475,0.06270613153512819
ADAR,0.5177833699859532,-0.3283606656532854
ANXA1,0.14873917105979514,0.5357450578704223
ANXA2,-0.36668438966525546,-0.47475316705905535
BST2,0.45820749267673744,0.05960661351997698
CREBBP,0.5281123202229548,-0.2719343368220479
DDX58,0.38579880696366325,0.13181843940774057
DUOX2,inf,2.850377403297404
EEF1G,-0.2248156208216611,0.15758993291883971
FADD,0.25872959553735275,0.1402297562551903
GBP1,1.069592354459271,0.48590490385264884
GBP2,0.6267500703827619,0.0752108115867973
GBP6,0.822994834873493,0.16130757366142556
IFI35,0.026252098110755663,0.06991829162801945
IFI44,1.1535828216143784,1.2402611166103732
IFI44L,1.2536201177790738,0.9153198778323574
IFI6,-0.7047181822297481,0.19168151768290853
IFIH1,0.5390719395278057,-0.09745646267246892
IFIT1,0.8053814891936163,0.9806506911487798
IFIT2,2.572352278790008,0.04131417846089723
IFIT3,0.5384744788791659,0.5757514753436311
IFIT5,0.407924094483125,0.3891221510578237
IFITM1,-0.3745154205053715,-0.02318421195943055
IFITM10,-0.09949514205590047,0.028107037567943575
IFITM2,0.10211898667864942,-0.12424560862480134
IFITM3,-0.27851793475555986,0.5802250722833571
IFITM5,1.618071505955295,-1.3832343862082357
IFNA1,0,inf
IFNA2,inf,0
IFNAR1,0.3127663497815107,-0.15096223894375957
IFNAR2,0.3498415172556624,-0.1486550858890578
IFNB1,inf,0
IFNL1,1.3022002679987355,-0.4447914673885063
IFNL2,0,inf
IRAK1,0.3053277798875596,0.19757885261521654
IRF1,0.5183364030150001,-0.2689520906952927
IRF2,0.28461974925706524,0.03589380095708608
IRF2BP1,0.02461657001991251,-0.14982445443320716
IRF2BP2,0.20919075232353912,0.19237350274886372
IRF2BPL,0.527077012342897,0.31084601603462386
IRF3,-0.07959317669603463,0.010003096148277272
IRF4,0.6430656596995452,0.8225028439674092
IRF5,0.547434516210936,0.304770427895327
IRF6,1.9268360781111653,-0.9899936410785545
IRF7,-0.500451798406553,0.4132744441854836
IRF8,0.5408762364433828,0.3292309365023593
IRF9,0.3814080756890706,0.14299035458785642
ISG15,,
KPNA1,-0.2001278685117609,0.1947827810711011
KPNB1,0.5148756167880293,-0.14125280192593076
