,"fold-change edad [0,12]","fold-change edad [13,19]","fold-change edad [20,99]",fold-change mujer,fold-change hombre,"fold-change mujer edad [0,12]","fold-change mujer edad [13,19]","fold-change mujer edad [20,99]","fold-change hombre edad [0,12]","fold-change hombre edad [13,19]","fold-change hombre edad [20,99]"
AKR1B1,0.0031572435111471946,0.0,-0.004969715369580243,0.013663190948680333,-0.0419113711430805,0.007260472333571491,0.0,0.011881876349936846,-0.016698782624457516,0.0,0.0444500953625688
ALDH4A1,0.027231356962273245,0.0,-0.09768981922824402,-0.04027795566891675,-0.1162203472798184,0.3449117996424851,0.0,-0.06231004893436225,0.024210982081403792,0.0,-0.11482121368113464
CBR1,0.04705619038345703,0.0,0.029398352570096924,-0.02377973077763798,0.05596577579779554,-0.07505004894196014,0.0,0.007496521920433804,0.10335527079644047,0.0,0.06918608218800315
COMT,0.030662172959020222,0.0,-0.1593430842348096,-0.06935080498978557,-0.1360203030468299,0.18812336506092805,0.0,-0.04797197746363913,0.027421319749426153,0.0,-0.19160680721538575
DBH,0.5624356436933371,0.0,-0.2307434155846764,0.13034928557560332,-0.23514140918531193,1.8006797683641989,0.0,-0.08553321016300348,0.1877652920075485,0.0,-0.2617153460832447
DDC,0.3074034207551759,0.0,0.024859498320297626,0.13944402261265884,-0.12075149421276733,0.3717486467942694,0.0,0.03055961432626332,0.16277756444719624,0.0,0.0779810860528416
DHFR,0.023618461843862366,0.0,0.022595809552835015,0.018561902451085348,0.015649081282066116,-0.14619187937668773,0.0,0.03458751326639607,0.10932222009133327,0.0,0.09379947235370442
DYRK1B,0.061281612004947535,0.0,-0.14686593627952355,-0.06737417965539773,-0.05660396672977581,-0.01689795596829092,0.0,-0.08814992667073097,0.007691289738225226,0.0,-0.08279445219370742
FAH,-0.05078921169646821,0.0,-0.03298128451283295,-0.05706709078284255,-0.04226308923282054,-0.4476977074765428,0.0,-0.012513754673315808,0.03192025588205036,0.0,-0.04483456943434913
FPGS,0.031145260571175865,0.0,-0.11611737735790305,-0.031145256943389026,-0.12983364227911404,0.3243898649573091,0.0,-0.054605733118560595,-0.04051441996028753,0.0,-0.08649913164388018
GART,0.027625843922691615,0.0,-0.0009766625564066069,-0.00753229275691446,-0.011917342240459497,0.06396930308181312,0.0,-0.011996177098235965,-0.014503140701037198,0.0,0.09839435264722207
GGH,0.0029886442028855538,0.0,0.08980005458138428,0.02372754555561951,0.09346669113526918,0.21865994721092757,0.0,0.010987719240203591,-0.041970287942802845,0.0,0.17931348696158897
GLUD1,0.004107770348190062,0.0,0.009242471199624794,-0.0112954297547774,0.001141264814619384,0.09557091675229344,0.0,-0.017352246383020842,-0.025866398245510878,0.0,0.07100577055611798
GLUD2,0.007842244606613542,0.0,-0.1200726579424029,-0.09860365265026097,-0.08342608585764835,0.08448041726204092,0.0,-0.07862643733198675,-0.009803379064288811,0.0,-0.1353912091846882
GOT1,0.06641057060429921,0.0,0.031170647420601022,0.0060716463178717645,0.025362949241766866,-0.006571342655919977,0.0,0.004293310037869032,0.042508039877651345,0.0,0.12501656169955208
GPT,-0.04119191400420629,0.0,-0.2650366736529764,-0.11687329219496882,-0.2748495152228685,0.418992383989519,0.0,-0.12169170822503886,-0.0231418304338157,0.0,-0.2618587890123879
GPT2,-0.008984760661857369,0.0,-0.05445332331210585,-0.033798427936810635,-0.068417532859468,0.16218454940294524,0.0,-0.03135263749338394,0.005301778522018604,0.0,-0.036852685076398384
GSTZ1,-0.04114129730717761,0.0,-0.003670645756073666,-0.015418395856798795,-0.06377552922469823,-0.14889700903698813,0.0,-0.009143981886389011,-0.013819091769901903,0.0,0.03331918039187889
HGD,-0.28553551214273537,0.0,-0.007514969289764377,0.03276436643948947,-0.20105167393392878,-0.7011606494973902,0.0,0.13043694010983697,-0.15837115155028272,0.0,-0.08414119439812737
HNF1A,0.054200845864624536,0.0,-0.1540871488150943,-0.07799484022834698,-0.08765313422560851,-0.4193383095524083,0.0,-0.05332646712657321,0.17563760682651677,0.0,-0.14840412912003081
HPD,0.028026467132332065,0.0,0.09952119771147003,0.06212490031491055,0.14977430722083268,0.3075915180285543,0.0,0.04830856859067953,-0.10481126345437762,0.0,0.20625454016201697
MAOA,0.12458920240582849,0.0,0.1445866704028399,-0.041521131875380146,0.2236863294121987,-0.013589830119385754,0.0,-0.04957168660478478,0.05177267747470208,0.0,0.17400365972536888
MAOB,0.29491105572984816,0.0,0.04615943589363829,0.024529109328937843,0.14774216430283701,-0.29986212291872716,0.0,0.02923400152147086,0.375020152718461,0.0,0.2984527940167271
MDH1,0.014257869136955715,0.0,0.03744153024701558,0.022932403831037902,-0.003985550746582279,0.051754243092487696,0.0,0.01894138476948015,-0.016528657944446617,0.0,0.1175018876009062
MTHFD1,0.026587350145967928,0.0,0.01614965777515013,0.03599743191492204,-0.03978556690789814,0.20040260415134872,0.0,0.014903555532218988,-0.03588827357151338,0.0,0.10308605976189365
MTHFD1L,0.09077794858555206,0.0,0.019290249715962056,0.10866346524818551,-0.08941499745075521,0.8123256640001023,0.0,0.0008983479444424954,-0.11102443768636773,0.0,0.1448376141540979
PAH,inf,0.0,-0.2240030820250066,-0.19020297376337533,-0.1063640699243995,0,0.0,-0.127770367367687,inf,0.0,-0.36703219782212626
