,fold-change MOI1,fold-change MOI10
AKR1B1,0.13163116059362184,0.10852779264802286
ALDH4A1,0.5930952058477743,0.548458997795619
CBR1,0.03749620624585261,0.16747222939831607
COMT,0.031028927464295503,0.26413043281315285
DBH,inf,inf
DDC,-0.13740526032999079,0.14378212366266313
DHFR,-0.5587043556342249,-0.6512244302826248
DYRK1B,0.7226887111686551,1.1361729519059507
FAH,-0.056103432881609835,-0.008619145971384162
FPGS,0.5624134256935176,0.6066518974272891
GART,0.2511119722572055,0.27406340168639376
GGH,0.0895304628628439,-0.14114461077352317
GLUD1,0.515427606099481,0.6780473954873985
GLUD2,1.126024100345208,1.1860842249629362
GOT1,0.2853722144319766,0.3248597225875096
GPT,0.6261908859688622,1.1515220498897394
GPT2,0.3263270983312646,0.12158488259590766
GSTZ1,0.022065348435850358,0.05071424909557513
HGD,0.17226416406063072,0.14537955352963142
HNF1A,0.7698940083725343,0.9405334388134775
HPD,inf,inf
MAOA,0.6380145623652508,1.0513881886548868
MAOB,0.4374569625403525,0.5423644465995161
MDH1,0.07323441845719848,0.21021849333956652
MTHFD1,0.20180363896399978,0.21703804684040662
MTHFD1L,0.48942971489683634,0.5605422214677999
PAH,inf,inf
PCBD1,-0.18258372907726161,0.002780536364526722
PCBD2,-0.12721036226589932,-0.19389422076417756
PTS,-0.2195849367456805,-0.2689045600401883
QDPR,0.09911194091306327,0.12512282082638013
SHMT1,0.4543444655342169,0.4442760530981193
SHMT2,0.31625709940456503,0.25696242478114467
SORD,0.8387154207204652,1.0332195769685475
SPR,0.30726091865979127,0.4383301799229439
TAT,0,0
TH,0,0
TPH1,-1.2361085738230022,-1.010897488464395
TPH2,inf,0
TYMS,-0.25221501070844077,-0.29927634408507664
UAP1L1,0.8745481371136617,1.079412499218901
ADSS,0.3071741592043193,0.6999103827140752
ADSSL1,-0.4387059606552892,-1.1096088299795865
ALPI,0,0
ALPL,inf,inf
ALPP,inf,inf
ALPPL2,0,0
AMPD1,0,0
ATIC,0.1703463371333327,0.3515963104417709
ENPP1,0.5643357647724737,0.5443033068205437
ENTPD5,0.5594705468156759,1.1573395340238624
ENTPD6,0.43204400904946133,0.5321533203758229
GCH1,-0.1141716368888049,-0.11528434779360916
GCHFR,-0.17000679372374425,-0.1772696417872809
GMPR,-0.013544522418263568,0.05256530875550392
GMPR2,0.11920331833297722,0.28557421801857114
GMPS,0.4646083185349283,0.447213712985465
GPHN,0.4698653282608008,0.7083787662222365
GUK1,-0.041722097636588,0.05065979751468415
IBSP,0,0
IMPDH1,0.16739745875762518,0.24744478259954858
IMPDH2,-0.12037869463468803,0.0003051693868854613
ITPA,-0.052634183825575775,-0.03284548314469067
MOCS1,0.7564646606342557,1.0061064934591906
MOCS2,0.10160892160312948,0.20037337071367461
NME7,-0.9767786782175754,-1.0522140769677868
NUDT16,0.08316545242562992,0.1489692892759746
SUOX,0.6403837832670406,0.8878323757800852
THY1,0,0
TPMT,0.18950306217895152,0.3310865158740338
TYR,0,0
PRKG2,0.6000655576650746,1.048212631258746
CYGB,2.2487491169910805,0.3621040115962623
MTX1,0.025126033835325804,0.2185598239839097
CR,,
DDAH1,0.13592522767157045,0.40508000325951904
DDAH2,0.14885550765168498,0.19601954832957774
ASRGL1,0.41599428139925276,0.3722139128493228
DHNTP,,
DNAJC12,-0.3919383776477969,0.09507586819934095
APBA2,inf,0
FOXP2,0,0
ARHGEF12,0.6209256277927463,0.8091811619255511
CDK5R1,1.2711550735901447,-0.13351728399531
FYN,0.39042889283477933,0.09257665709670534
GPX1,-0.08868709478425837,-0.04658522697746776
SLC6A4,inf,inf
MAGED1,0.2853107106363407,0.23410832076227417
NR4A2,-1.4004241111718192,-0.9563406639188209
TDO2,0,0
NR4A1,0.2669295980024383,-0.1676506910914415
NR4A3,0.521028087297245,2.500621086250513
TG,inf,inf
CADPS,-2.690366141547337,-0.31698298026752547
CADM4,0.9507526698974532,0.13524546574434215
HTR2A,0,0
HTR2B,-1.9957620814364518,-1.443839589448808
HTR2C,inf,inf
P2RX7,-0.3576427206184868,-1.0503755638364154
SLC2A4,inf,inf
STXBP5,0.12255778858753001,0.7664958708566706
STXBP1,-0.1812067557893082,0.1042526276613507
STXBP2,0.3299841481824815,0.5372222630657978
STXBP4,-0.08064406533260414,0.03239602566298509
HTR1A,0,0
HTR1B,0.9543749342387395,1.095034534888493
HTR1D,inf,inf
HTR6,inf,inf
HTR7,0,0
TIPRL,0.07423107277704853,0.03216321633301982
