,"fold-change edad [0,12] - SC2","fold-change edad [13,19] - SC2","fold-change edad [20,99] - SC2",fold-change mujeres - SC2,fold-change hombres - SC2,"fold-change mujeres en edad [0,12] - SC2","fold-change mujeres en edad [13,19] - SC2","fold-change mujeres en edad [20,99] - SC2","fold-change hombres en edad [0,12] - SC2","fold-change hombres en edad [13,19] - SC2","fold-change hombres en edad [20,99] - SC2"
AKR1B1,0.14049675010561397,-0.4968557204759327,-0.3415264308836732,-0.6112736165464735,0.04636206490058455,-0.2562748795803931,1.5927823743422675,-0.6939668982513005,0.4816759377695885,-1.412728330065452,0.1883588912940951
ALDH4A1,2.6128053022069158,1.9248436642609639,-0.3426808133612902,-0.23075190559521064,0.8286652270112604,1.3289099062739875,inf,-0.45369979650224096,5.306541211918793,2.3475629897943704,-0.2042935811421454
CBR1,-0.5459096603502595,0.04517368050891522,0.28043538289496944,0.2569636472009068,-0.23946749561718517,0.061821778210791045,1.302116258532173,0.30733973563023015,-1.1816385424007547,-0.4138438249140836,0.24072049042035173
COMT,0.23641054957837954,-0.31315050778734643,0.152814613960145,-0.03261103298815948,0.250544421360031,-0.4323368884624483,0.5930777351399554,0.06744648201744091,1.6116160095449599,-0.8643030831224802,0.25090477328562577
DBH,-0.32422177452603335,inf,0.8791468216260544,0.48879283896648973,0.4225466660996172,0.0816080275633624,0,0.6629777910999293,-0.8892415106503225,inf,1.1346689960864969
DDC,4.231256207770467,inf,0.44961506500400056,1.3999060653685471,-0.09550165311732298,4.609350072515202,inf,0.5936172140215537,inf,0,0.13981443367772486
DHFR,-1.2838839251640424,-0.11234403185971313,0.19685214099358075,0.007116520924988507,-0.5909853123891035,-0.453859084483936,-2.0833719548935674,0.3278482928063164,-2.1083647571571578,0.27644177824687827,-0.001989430928238361
DYRK1B,0.10554286608057444,1.039184057733539,0.19912872942021795,0.23008597753596918,0.2942038413142652,0.6566789544402367,-0.05365738072506442,0.03194740675577713,-0.4864654615888417,1.227383108383215,0.38835378064179726
FAH,-0.9462657032524554,-1.2765318580042662,0.0706727620901482,-0.29374419454473655,-0.3744587321865711,-0.40703374710527657,-0.4631028984194359,-0.15785923441013175,-1.5381723642691596,-1.7380405561198131,0.3631269635267673
FPGS,0.8132309035090064,0.9744315937485659,-0.11946236176146993,0.18141891608706856,0.2472349980234405,0.5706692040612645,2.0939964098183577,-0.12092324021448551,1.713173839745996,0.6170800122197082,-0.1161090365937867
GART,-1.646845523493091,0.31921155385841016,0.1933152357285545,-0.05430693355501929,-0.8108951957455838,-0.8807142534707504,1.9933827899768837,0.20264804366263214,-2.385986506695081,-0.6807980374000997,0.18109314443817723
GGH,-2.610578121526356,-2.4308835213966624,0.14253696758503953,-0.3956319441926166,-1.7654173575343146,-1.1267288151203654,0.6206632155375333,-0.04186300919161753,-3.623810557769689,-3.1280502902033596,0.4068906191678361
GLUD1,-1.7275869061462692,-0.5256638893491831,-0.028374980799142555,-0.16396845610287,-1.0803127297419517,-0.2644769432260169,-0.46342816327530517,-0.09249352479594805,-2.8004604807437468,-0.5212709881158263,0.047472115382846854
