,"fold-change edad [0,12] - other virus","fold-change edad [13,19] - other virus","fold-change edad [20,99] - other virus",fold-change mujeres - other virus,fold-change hombres - other virus,"fold-change mujeres en edad [0,12] - other virus","fold-change mujeres en edad [20,99] - other virus","fold-change hombres en edad [0,12] - other virus","fold-change hombres en edad [13,19] - other virus","fold-change hombres en edad [20,99] - other virus"
AKR1B1,-1.0049807359617544,0.4679134571481087,-0.3043649699954761,-0.3626975226669999,-0.17774183722195,-0.7305566996246033,-0.16530721530029863,inf,0.023453114342957,-0.14656249053619264
ALDH4A1,-0.6125315994994839,-1.455017969562012,-0.7869425141397294,-1.2855620656565603,-0.3791177932349054,-0.8365166950866384,-1.1750881133131748,inf,-1.517725471198847,-0.5015533050047369
CBR1,-1.1179540783294655,-0.469607096756655,-0.9454032540931676,-0.8988451412325164,-1.0545808770839922,-0.6180737497432656,-1.1077489169182937,-1.5801838067388814,-0.8781866064886158,-0.8421181681488793
COMT,-2.027279319171313,-2.7920788884724246,-0.8893456286342761,-1.4062003094494062,-0.963472878430503,-2.279194733275291,-0.9662249765006306,-1.7782048143609777,-2.8716068647339155,-0.8866030199827417
DBH,inf,0,-0.1474691163353947,-1.0426735785255878,-1.39154725130763,inf,-0.3892822436415915,inf,0,0.04832318217817432
DDC,3.052205054851949,inf,-1.7508549027619444,-0.5518657275227676,-1.3684623697924958,2.714335416095565,-1.8570176769466953,0,0,-1.5589486937171244
DHFR,0.14766290689883615,-1.5556951197925681,-0.3769266984540534,0.3792716811879546,-0.7518185969897153,0.8290319067167146,-0.6189036183047046,-0.879020007416255,-1.5412888224955141,-0.23147460380883964
DYRK1B,-2.0365335262314996,-1.1594251078070799,-0.8870631057325734,-1.7216507622317763,-0.8098773503223282,-1.7805923173466345,-1.656543238868872,-2.3099818399038465,-1.2816933414313085,-0.5646302180431292
FAH,-0.47327719125387757,-2.2049862724367935,-0.5182658511829579,-0.37303846937511925,-0.7290030760647925,1.7073598980486173,-0.9509671527684366,-1.9206681578866767,-2.2965427674858416,-0.16321362008658388
FPGS,0.10542646939974594,-1.5460918128976482,-0.1579693233553165,-0.3883373849348795,-0.03496279243491036,-1.4283301203904626,-0.022504745000922113,2.6686200655934247,-2.004332186097612,-0.2455624635298374
GART,-0.8346853805543546,0.30800220914091136,-0.29765866169158567,-0.15165416192997652,-0.8159947061640167,-0.06651680479376061,-0.7802117836332273,-1.7465003144106865,0.007760777178327593,-0.083391876000729
GGH,0.34498755698941963,-3.16723371113035,-0.8975420505705426,0.5019281455514841,-0.4126459513463735,0.8183655956735361,-0.8599157523906592,0.7963740383263709,-3.767375193219881,-0.7293340015439846
GLUD1,-0.8411586158249865,-0.09904951819769466,-0.34722681130940214,-0.22866370074219056,-0.8426370599975872,0.01711973779023969,-0.40651082094321267,-0.8229252392096812,0.0015754906738945703,-0.1986367358842041
GLUD2,-2.755347167569621,inf,-1.087992850408894,-1.0930199953554955,-2.861642630429962,-0.41234306634404594,-4.311992417077054,inf,0,0.5348229020014305
GOT1,-1.1729518131442267,2.660936493405284,-0.7031381842536112,-1.4082731787069263,0.6122544473535378,-1.426781925769156,-1.2769927387805982,-0.5712184952503178,3.275713416176932,-0.5230194195144879
GPT,0.22903771853297897,-1.854016622942763,-0.7404247802417858,-1.192813840744874,-0.24256225808488327,0.21159697474658942,-1.298348384933775,inf,-1.6905853088141503,-0.34379260253263694
GPT2,0.6203320551957472,-0.3278698258498663,-0.10281473742397929,0.15664634026951774,-0.02958178148272281,0.461459350834906,0.08755333604664813,1.2206400957515309,-0.5440177979848017,-0.22292787596216532
GSTZ1,-0.4657600385266988,-4.284809415500998,-0.798779891239467,-1.3474360214639836,-0.681016728698999,-0.2269310268860662,-0.9245284877810074,-0.7436415967091388,-2.319572151354548,-0.6972816346830014
HGD,-0.4197910491422898,4.267341598988846,-1.1085373842591122,-1.8734295595632284,1.2045164661739882,-1.5449772336090373,-1.784450488076095,1.3684837055930745,4.4253104725585395,-0.7868676895603146
HNF1A,5.007534216982732,0.32406680746788497,0.568591696062001,1.0146266956370689,0.9448986634036132,5.377001416591823,0.40894211155728305,inf,inf,0.761646750966504
HPD,4.98063915431056,-1.9119676913233044,-0.6834491871400635,-2.217140626641339,0.27477763038432906,inf,-1.9015746063149968,inf,-2.176909331963835,0.04399297815128772
MAOA,-1.860214512932537,1.0729198539303235,-0.8836356590248635,-1.5257571179430789,-0.5911857177080991,-2.085032888893937,-1.2859226260865175,-1.2623972614011822,1.064333318839466,-0.5505062709315887
