,1_1,1_2,1b24_1,1b24_2,1b60_1,1b60_2,6_1,6_2,6a24_1,6a24_2,6a60_1,6a60_2,6b24_1,6b24_2,6b60_1,6b60_2
A1CF__chr10,270.8916703,261.0686859,118.4500673,101.0200041,328.8562809,287.5618544,95.65696816,98.84234643,63.46148263,85.33878348,47.84682451,103.0381476,123.8993523,103.6789011,66.64648306,88.00349461
A2M-AS1__chr12,0,0,0,0,1.209030445,0,1.28398615,2.851221532,0.477154005,0,0.52578928,0.528400757,0.74638164,0,0,0.511648224
A4GALT__chr22,4.043159258,8.04413318,44.98103823,14.90459077,8.463213112,10.08988963,22.46975762,19.95855072,16.22323616,15.64544364,17.87683553,9.511213629,28.36250233,31.55444818,14.73912606,17.90768786
AAAS__chr12,250.1704791,224.5044442,251.8938141,240.1295179,234.5519063,317.8315233,356.3061566,390.6173498,258.1403165,260.2832896,410.6414279,403.1697777,273.1756804,72.12445297,447.3004344,335.129587
AACS__chr12,89.45489858,61.4279261,101.95702,117.5806605,45.9431569,55.49439296,168.2021856,173.9245134,147.9177415,147.920558,182.4488803,126.287781,108.9717195,108.1866795,183.2778284,157.5876531
AACSP1__chr5,0,1.462569669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAC__chr3,271.3970652,295.4390732,115.4513314,62.93049436,489.6573301,383.4158059,4.493951524,7.603257418,51.0554785,22.75700893,11.04157489,39.63005679,41.79737186,4.507778311,31.40074682,28.65230057
AADACL3__chr1,2.021579629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.534944673
AADACP1__chr3,11.11868796,9.506702849,22.49051911,3.312131282,30.22576112,15.13483444,0.641993075,0,4.294386042,0,2.103157121,3.6988053,0,0,2.563326271,3.069889347
AADAT__chr4,3.537764351,2.193854504,5.997471763,14.90459077,13.29933489,0,7.061923824,0,3.340078033,1.422313058,5.257892803,12.15321742,5.971053122,4.507778311,3.844989407,10.74461271
AAED1__chr9,2.021579629,10.96927252,32.9860947,3.312131282,6.045152223,10.08988963,7.061923824,10.45447895,3.817232038,11.37850446,6.835260644,8.454412115,6.717434763,4.507778311,3.204157839,6.651426918
AAGAB__chr15,256.7406129,233.2798622,221.9064552,253.3780431,301.0485807,433.865254,187.4619779,229.0481297,285.3380948,190.5899498,301.8030469,276.8819968,326.1687768,306.5289251,290.2967002,276.2900412
AAK1__chr2,78.33621062,130.1687006,70.47029322,94.39574153,153.5468665,141.2584548,32.09965375,25.66099378,65.37009865,130.8528013,48.89840307,50.19807193,63.44243943,9.015556622,70.49147246,27.1173559
AAMDC__chr11,19.71040138,13.16312702,23.98988705,34.77737846,49.57024823,75.67417222,24.39573685,15.20651484,7.634464075,29.86857422,10.51578561,10.03961439,30.60164725,13.52333493,16.0207892,14.32615028
AAMP__chr2,58.62580924,80.4413318,104.9557559,125.8609887,55.61540045,40.35955851,50.07545984,42.76832297,71.57310071,59.73714843,32.59893538,23.24963332,126.1384972,63.10889635,53.18902013,47.07163665
AANAT__chr17,17.18342685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2__chr20,113.7138541,111.1552949,137.9418506,89.42754461,118.4849836,60.53933777,74.47119669,100.7431608,88.27349087,105.2511663,128.8183737,138.4409984,86.58027028,189.3266891,135.2154608,114.6092023
AARD__chr8,0,0,0,0,2.418060889,0,1.28398615,0.950407177,0,0,0,0,0,0,0,0
AARS__chr16,118.7678032,93.60445882,134.9431147,112.6124636,122.1120749,186.6629581,545.6941137,320.2872187,194.2016799,224.7254632,209.2641336,200.7922877,160.4720527,27.04666986,212.115249,283.9647646
AARS2__chr6,14.65645231,27.05753888,26.98862294,29.80918154,19.34448711,30.26966889,16.69181995,15.20651484,20.5176222,28.44626116,19.45420337,19.02242726,16.42039609,27.04666986,30.11908369,25.070763
AASDH__chr4,22.23737592,44.60837491,19.49178323,29.80918154,44.73412645,25.22472407,44.29752217,37.06587991,37.21801237,25.60163504,42.5889317,50.72647269,38.06546366,54.09333973,59.59733581,51.67647067
AASDHPPT__chr11,118.7678032,234.7424319,112.4525956,182.1672205,106.3946791,40.35955851,148.9423934,136.8586335,198.97322,176.3668192,234.502019,194.4514786,173.1605406,112.6944578,192.2494704,208.2408274
AASS__chr7,2.021579629,7.312848346,2.998735882,4.968196923,6.045152223,10.08988963,0,0.950407177,0.954308009,0,5.257892803,4.227206057,6.717434763,0,0.640831568,10.23296449
AATBC__chr21,0,0,0,0,0,0,0,0,0.954308009,2.844626116,0,0,0,0,0,0
AATF__chr17,62.6689685,32.17653272,34.48546264,74.52295384,48.36121778,95.85395147,44.93951524,41.8179158,42.94386042,48.35864397,69.92997428,66.5784954,41.05099022,22.53889155,55.11151483,60.37449049
AATK__chr17,42.95856711,46.07094458,46.48040617,67.89869128,53.19733956,30.26966889,30.17367452,37.06587991,22.90339223,24.17932199,9.989996325,11.62481666,18.65954101,40.5700048,7.689978814,2.046592898
ABAT__chr16,100.0681916,113.3491494,28.48799088,29.80918154,33.85285245,45.40450333,7.061923824,2.851221532,23.85770024,22.75700893,11.56736417,23.77803407,14.18125117,22.53889155,6.408315678,6.139778693
ABCA1__chr9,11.11868796,3.656424173,0,0,8.463213112,10.08988963,15.4078338,13.30570048,1.908616019,0,1.051578561,0.528400757,1.492763281,0,0,2.558241122
ABCA10__chr17,1.010789814,4.387709007,0,0,10.881274,0,2.5679723,5.702443063,0.477154005,14.22313058,0.52578928,2.642003786,3.731908202,0,2.563326271,2.558241122
ABCA11P__chr4,1.010789814,4.387709007,7.496839704,0,0,0,3.209965375,1.900814354,2.385770024,1.422313058,4.206314242,1.056801514,4.478289842,0,10.89413665,6.139778693
ABCA13__chr7,2.526974536,0.731284835,0,4.968196923,2.418060889,0,0.641993075,0,0,0,0,0.528400757,0,13.52333493,0,0
ABCA17P__chr16,3.032369443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511648224
ABCA2__chr9,23.24816573,21.2072602,23.98988705,4.968196923,2.418060889,0,78.32315514,52.27239475,9.065926089,34.13551339,23.66051761,13.73841969,14.92763281,45.07778311,9.612473518,12.27955739
ABCA3__chr16,13.14026759,1.462569669,13.49431147,3.312131282,2.418060889,5.044944814,10.2718892,12.3552933,5.248694052,11.37850446,8.412628485,6.869209843,2.239144921,0,7.049147246,4.093185796
ABCA4__chr1,1.516184722,4.387709007,0,0,0,0,0,0,0,0,0.52578928,0.528400757,0,0,1.281663136,0
ABCA5__chr17,93.49805784,51.92122325,32.9860947,19.87278769,130.575288,65.58428259,39.80357065,30.41302967,41.51239841,21.33469587,32.59893538,24.83483559,23.13783085,49.58556142,19.8657786,23.53581832
ABCA6__chr17,0,0,0,0,0,0,0,1.900814354,0,0,0,0,0,0,0.640831568,0
ABCA7__chr19,0,2.193854504,0,1.656065641,0,0,14.12384765,11.40488613,1.431462014,2.844626116,4.732103523,0,1.492763281,4.507778311,5.767484111,3.581537571
ABCA9__chr17,1.516184722,0,1.499367941,0,6.045152223,0,0,0.950407177,0.477154005,0,0,4.227206057,0,0,0.640831568,1.534944673
ABCB1__chr7,35.88303841,68.74077445,11.99494353,29.80918154,101.5585573,60.53933777,6.419930749,0,19.56331419,15.64544364,13.14473201,10.03961439,8.956579684,9.015556622,22.42910487,13.30285384
ABCB10__chr1,82.37936988,73.12848346,94.46018027,72.8668882,60.45152223,80.71911703,52.00143907,97.89193925,56.78132656,59.73714843,70.45576356,99.86774311,55.23224138,274.974477,94.20224047,72.65404787
ABCB4__chr7,0,0,0,0,0,0,0,0,0,0,3.680524962,0,0,0,0,0
ABCB5__chr7,0,0.731284835,0,0,4.836121778,0,0.641993075,0,0,0,0,0,0.74638164,0,0,0.511648224
ABCB6__chr2,15.66724212,13.16312702,26.98862294,34.77737846,18.13545667,25.22472407,17.33381302,17.10732919,31.01501031,27.0239481,12.61894273,10.56801514,17.91315937,18.03111324,37.16823093,23.0241701
ABCB7__chrX,21.2265861,21.93854504,7.496839704,16.56065641,22.97157845,30.26966889,27.60570222,14.25610766,28.62924028,18.49006975,32.59893538,17.96562574,18.65954101,18.03111324,12.81663136,33.25713459
