,7_1,7_2,7a72_1,7a72_2,7b72_1,7b72_2
A1CF__chr10,665.1232327,345.8283135,121.4034348,24.18637802,496.7505135,493.2759577
A2M-AS1__chr12,42.54519612,0,0,0,0,0
A4GALT__chr22,96.43577788,143.3922276,135.1992797,79.46952777,86.57961019,53.70343088
AAAS__chr12,1592.608508,1750.22866,2163.878267,2726.150322,1578.995641,2243.610001
AACSP1__chr5,0,0,0,3.45519686,0,0.994507979
AACS__chr12,805.5223799,463.9160303,616.6742656,601.2042536,366.8810982,569.8530721
AADACL3__chr1,0,0,0,0,0,0
AADACP1__chr3,1.418173204,40.48721719,15.8652216,0,27.05612818,22.87368352
AADAC__chr3,293.5618533,132.4269396,97.95049856,155.4838587,228.3537219,139.2311171
AADAT__chr4,31.19981049,48.07857041,37.24878114,13.82078744,21.64490255,19.89015958
AAED1__chr9,25.52711767,44.70463565,30.35085871,6.910393719,38.96082459,55.69244683
AAGAB__chr15,974.2849912,993.6237886,853.9627973,442.265198,1636.354633,1249.102022
AAK1__chr2,175.8534773,199.0621512,160.7215927,238.4085833,167.7479947,243.6544549
AAMDC__chr11,39.70884972,78.44398331,35.86919666,41.46236232,100.6487968,67.62654258
AAMP__chr2,557.3420692,472.3508672,671.857645,611.5698442,651.5115667,495.2649736
AAR2__chr20,233.9985787,207.4969881,256.6027145,342.0644891,347.4006859,337.1382049
AARD__chr8,0,0,0,0,0,0
AARS2__chr6,60.98144778,76.75701593,67.59963985,103.6559058,49.78327586,85.52768621
AARS__chr16,392.8339775,365.2284384,465.6097643,314.4229142,343.0717054,343.1052528
AASDHPPT__chr11,409.852056,960.7279246,670.4780606,1026.193467,639.6068703,857.265878
AASDH__chr4,164.5080917,178.8185426,181.41536,107.1111027,201.2975937,179.0114363
AASS__chr7,14.18173204,26.14799444,8.27750692,0,4.32898051,11.93409575
AATBC__chr21,2.836346408,0,1.379584487,0,0,0
AATF__chr17,163.0899185,99.5310756,122.7830193,158.9390555,136.362886,146.1926729
AATK__chr17,97.85395109,107.1224288,60.70171742,44.91755918,70.34593328,77.57162238
ABAT__chr16,127.6355884,181.3489937,99.33008304,103.6559058,66.01695277,79.56063833
ABCA10__chr17,7.090866021,3.373934766,5.518337947,3.45519686,18.39816717,19.89015958
ABCA11P__chr4,0,0.843483691,2.759168973,3.45519686,9.740206146,0
ABCA12__chr2,0,4.217418457,0,0,0,0
ABCA13__chr7,1.418173204,10.1218043,0,0,1.082245127,2.983523938
ABCA17P__chr16,0,0,0,0,6.493470764,0
ABCA1__chr9,83.67221904,140.0182928,128.9911495,55.28314976,9.740206146,2.983523938
ABCA2__chr9,241.0894447,404.0286882,384.2142796,217.6774022,154.7610532,270.5061703
ABCA3__chr16,26.94529088,14.33922276,12.41626038,17.2759843,17.31592204,9.945079792
ABCA5__chr17,336.1070494,430.1766827,131.0605262,100.2007089,198.0508583,256.5830586
ABCA7__chr19,29.78163729,26.14799444,16.55501384,20.73118116,41.12531484,23.8681915
ABCA9__chr17,2.836346408,9.278320606,0,6.910393719,1.082245127,0.994507979
ABCB10__chr1,453.8154253,356.7936015,351.7940441,342.0644891,535.7113381,344.0997608
ABCB1__chr7,70.90866021,70.85263008,109.6769667,76.01433091,140.6918666,113.3739096
ABCB5__chr7,0,3.373934766,0.689792243,0,0,0
ABCB6__chr2,175.8534773,53.13947256,54.49358723,41.46236232,41.12531484,35.80228725
ABCB7__chrX,95.01760468,56.51340733,86.91382266,134.7526775,99.56655172,66.6320346
ABCB8__chr7,123.3810688,146.7661623,128.9911495,48.37275604,156.9255435,106.4123538
ABCB9__chr12,316.2526245,64.10476055,71.04860107,141.6630712,167.7479947,97.46178196
ABCC10__chr6,130.4719348,92.78320606,195.9009971,214.2222053,198.0508583,110.3903857
ABCC11__chr16,0,0,0,0,0,0
ABCC13__chr21,0,0,0.689792243,0,0,0
ABCC1__chr16,79.41769943,101.218043,148.9951246,203.8566147,90.9085907,105.4178458
ABCC2__chr10,45.38154253,63.26127686,6.20813019,34.5519686,18.39816717,31.82425533
ABCC3__chr17,2538.530035,3389.960956,2490.149999,2663.956779,2332.238249,2832.358725
